"1","Dunleavy/Dahlstrom","Gara/Cook","Blank","Exhausted","Overvote"
"House District 1","3934","2132","90","728","4"
"House District 10","3820","2930","75","317","11"
"House District 11","4540","3215","49","382","4"
"House District 12","3436","3046","33","251","8"
"House District 13","2914","2591","34","247","4"
"House District 14","2369","3432","66","277","11"
"House District 15","4064","3174","63","404","4"
"House District 16","3445","4205","47","359","12"
"House District 17","2058","4056","61","279","11"
"House District 18","1118","1053","28","93","5"
"House District 19","1481","1984","53","199","11"
"House District 2","3211","3199","111","1042","4"
"House District 20","2408","2792","27","236","6"
"House District 21","3541","3435","47","273","17"
"House District 22","1977","1762","31","191","3"
"House District 23","5161","2794","58","317","6"
"House District 24","5372","2253","47","319","5"
"House District 25","5674","2295","57","345","7"
"House District 26","5581","1307","76","235","14"
"House District 27","5129","1217","65","255","12"
"House District 28","5374","1457","43","216","8"
"House District 29","5810","1950","49","407","4"
"House District 3","3463","4340","73","921","7"
"House District 30","5632","1981","99","406","17"
"House District 31","2732","2098","58","433","9"
"House District 32","2163","1001","25","215","2"
"House District 33","4751","1158","28","313","6"
"House District 34","4366","2834","52","433","8"
"House District 35","3488","3752","50","580","8"
"House District 36","4886","2299","70","681","16"
"House District 37","1815","1322","88","434","6"
"House District 38","1789","1473","109","368","24"
"House District 39","1967","1352","70","407","21"
"House District 4","2163","4804","62","674","10"
"House District 40","1339","781","33","320","3"
"House District 5","2994","2367","71","553","4"
"House District 6","5149","3922","99","670","7"
"House District 7","5238","1636","57","498","14"
"House District 8","6382","1865","64","475","7"
"House District 9","5264","4527","46","441","6"
"Total","147998","99791","2364","16194","346"
