"1","Dunleavy/Dahlstrom","Pierce/Grunwald","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","276","65","8","150","0"
"01-610 Ketchikan No. 2","409","106","14","209","1"
"01-620 Ketchikan No. 3","361","54","4","123","0"
"01-640 North Tongass No. 1","247","41","7","83","0"
"01-650 North Tongass No. 2","479","89","9","165","0"
"01-660 Saxman","48","21","1","44","0"
"01-670 South Tongass","380","78","6","185","0"
"01-675 Coffman Cove","64","8","2","13","0"
"01-680 Metlakatla","218","53","14","122","0"
"01-690 Wrangell","430","103","3","149","0"
"02-700 Angoon","39","21","4","68","0"
"02-705 Craig","197","43","8","85","0"
"02-720 Hoonah","118","39","3","93","0"
"02-725 Hydaburg","19","11","1","38","0"
"02-730 Kake","42","19","5","57","1"
"02-735 Kasaan","15","5","1","7","0"
"02-740 Klawock","162","50","5","64","0"
"02-750 Pelican-Elfin Cove","21","5","0","12","0"
"02-755 Petersburg-Kupreanof","422","140","7","292","0"
"02-760 Port Alexander","6","1","0","8","0"
"02-765 Sitka No. 1","481","174","20","400","1"
"02-770 Sitka No. 2","449","115","21","487","0"
"02-775 Tenakee Springs","7","3","1","33","0"
"02-780 Thorne Bay","119","21","4","17","0"
"02-785 Yakutat","81","29","1","69","0"
"03-300 Auke Bay","258","59","0","227","0"
"03-305 Lynn Canal","197","63","1","210","3"
"03-310 Melvin Park","279","92","4","175","1"
"03-315 Mendenhall Glacier","502","135","6","291","0"
"03-320 Thunder Mountain","459","100","6","287","0"
"03-325 Gustavus","63","23","3","100","0"
"03-330 Haines No. 1","282","122","10","255","0"
"03-335 Haines No. 2","52","14","3","46","0"
"03-340 Klukwan","12","16","1","16","0"
"03-345 Skagway","117","71","6","155","1"
"04-100 Douglas","179","76","1","315","0"
"04-105 Juneau Airport Area","152","42","4","95","0"
"04-110 Juneau No. 1","205","68","5","249","0"
"04-115 Juneau No. 2","116","74","3","373","0"
"04-120 Juneau No. 3","101","43","6","147","2"
"04-125 Lemon Creek","246","72","6","164","0"
"04-130 Glacier Valley Area","235","62","2","117","0"
"04-135 North Douglas","161","62","3","264","0"
"05-800 Chiniak","16","5","0","17","0"
"05-810 Flats","225","63","6","134","0"
"05-815 Kodiak Island South","15","0","0","1","1"
"05-820 Kodiak No. 1","282","68","4","156","0"
"05-825 Kodiak No. 2","281","60","13","139","2"
"05-830 Mission Road","709","155","14","282","1"
"05-835 Old Harbor","14","4","1","8","0"
"05-840 Ouzinkie","21","5","3","20","0"
"05-845 Port Lions","37","6","0","10","0"
"05-860 Cordova","205","110","1","199","0"
"05-865 Seward-Lowell Point","316","61","3","179","0"
"05-870 Tatitlek","5","4","0","8","0"
"06-200 Anchor Point","636","141","9","111","0"
"06-210 Diamond Ridge","255","53","5","173","0"
"06-220 Fox River","151","77","1","57","0"
"06-230 Homer No. 1","341","139","17","239","0"
"06-240 Homer No. 2","349","93","7","208","1"
"06-250 Kachemak-Fritz Creek","356","132","7","295","0"
"06-260 Kasilof","758","201","14","199","1"
"06-270 Ninilchik","407","87","9","77","0"
"06-280 Seldovia-Kachemak Bay","81","18","3","68","0"
"07-005 Central","589","115","5","99","1"
"07-010 K Beach","797","127","9","115","1"
"07-015 Kenai No. 1","592","143","6","131","1"
"07-020 Kenai No. 2","332","81","5","82","1"
"07-025 Kenai No. 3","308","50","4","66","0"
"07-030 Soldotna","672","123","5","144","4"
"08-035 Bear Creek","406","71","7","151","1"
"08-040 Cooper Landing","76","19","1","45","0"
"08-045 Funny River No. 1","288","55","3","49","1"
"08-050 Funny River No. 2","294","39","4","47","1"
"08-055 Hope","35","7","0","22","0"
"08-060 Mackey Lake","502","86","6","76","0"
"08-065 Moose Pass","69","21","1","47","0"
"08-070 Nikiski","631","134","8","74","3"
"08-075 Salamatof","666","153","6","75","0"
"08-080 Sterling No. 1","581","106","7","77","0"
"08-085 Sterling No. 2","677","128","3","70","0"
"09-105 Girdwood","241","109","6","358","0"
"09-110 Indian","56","15","1","51","0"
"09-115 South Anchorage No. 1","696","104","7","296","0"
"09-120 South Anchorage No. 2","818","108","4","263","0"
"09-125 South Anchorage No. 3","666","85","7","316","1"
"09-130 South Anchorage No. 4","725","113","0","297","1"
"09-135 South Anchorage No. 5","311","40","0","132","0"
"09-140 Stuckagain Heights","79","23","1","49","0"
"09-145 Whittier","60","8","2","24","0"
"10-150 Dimond","383","93","7","154","0"
"10-155 Oceanview No. 1","579","107","6","234","1"
"10-160 Oceanview No. 2","408","86","13","193","3"
"10-165 Oceanview No. 3","552","111","10","233","1"
"10-170 Oceanview No. 4","486","85","4","226","0"
"10-175 Oceanview No. 5","382","72","6","159","1"
"11-205 Hillside No. 1","328","64","2","106","0"
"11-210 Hillside No. 2","665","126","8","233","1"
"11-215 Hillside No. 3","409","73","2","130","1"
"11-220 Hillside No. 4","443","62","3","151","0"
"11-225 Hillside No. 5","424","52","10","208","0"
"11-230 Hillside No. 6","524","105","5","221","1"
"11-235 Hillside No. 7","348","64","3","178","0"
"12-250 Southeast Anchorage No. 1","451","93","3","188","0"
"12-255 Southeast Anchorage No. 2","332","35","3","122","2"
"12-260 Southeast Anchorage No. 3","425","72","7","171","0"
"12-265 Southeast Anchorage No. 4","430","85","4","195","1"
"12-270 Southeast Anchorage No. 5","556","92","4","237","0"
"12-275 Southeast Anchorage No. 6","461","84","6","273","0"
"13-305 South Midtown No. 1","115","24","0","49","0"
"13-310 South Midtown No. 2","594","104","4","235","1"
"13-315 South Midtown No. 3","597","117","9","261","1"
"13-320 South Midtown No. 4","486","102","7","196","0"
"13-325 South Midtown No. 5","450","107","4","278","0"
"14-350 North Midtown No. 1","137","41","2","113","0"
"14-355 North Midtown No. 2","169","57","4","135","0"
"14-360 North Midtown No. 3","165","48","1","77","1"
"14-365 North Midtown No. 4","185","76","6","116","0"
"14-370 North Midtown No. 5","386","103","17","220","2"
"14-375 North Midtown No. 6","227","73","7","153","0"
"14-380 North Midtown No. 7","386","105","4","405","0"
"15-405 Southwest Anchorage No. 1","378","66","6","146","0"
"15-410 Southwest Anchorage No. 2","483","66","7","170","0"
"15-415 Southwest Anchorage No. 3","585","86","7","233","0"
"15-420 Southwest Anchorage No. 4","390","96","5","164","0"
"15-425 Southwest Anchorage No. 5","429","90","9","242","0"
"15-430 Southwest Anchorage No. 6","697","138","7","302","1"
"16-450 West Anchorage No. 1","255","75","1","325","0"
"16-455 West Anchorage No. 2","356","82","4","244","1"
"16-460 West Anchorage No. 3","537","105","5","323","1"
"16-465 West Anchorage No. 4","295","54","3","132","1"
"16-470 West Anchorage No. 5","498","81","6","278","1"
"16-475 West Anchorage No. 6","430","99","4","197","1"
"16-480 West Anchorage No. 7","300","74","6","157","0"
"17-505 Downtown Anchorage No. 1","158","44","3","167","0"
"17-510 Downtown Anchorage No. 2","204","58","5","269","2"
"17-515 Downtown Anchorage No. 3","166","38","3","155","1"
"17-520 Downtown Anchorage No. 4","260","76","4","274","1"
"17-525 Downtown Anchorage No. 5","189","55","7","172","0"
"17-530 Downtown Anchorage No. 6","122","39","5","131","0"
"17-535 Downtown Anchorage No. 7","173","61","11","150","1"
"18-550 Government Hill","146","56","6","135","0"
"18-555 JBER","301","85","4","92","1"
"18-560 North Muldoon","155","53","4","84","0"
"18-565 Ship Creek","43","13","0","31","0"
"19-605 Airport Heights No. 1","307","75","3","346","2"
"19-610 Airport Heights No. 2","328","93","11","183","1"
"19-615 Mountainview No. 1","146","46","4","108","0"
"19-620 Mountainview No. 2","148","33","6","60","0"
"19-625 South Mountainview","223","55","4","87","0"
"20-650 University No. 1","119","26","1","68","1"
"20-655 University No. 2","416","86","5","194","1"
"20-660 University No. 3","420","121","6","255","2"
"20-665 University No. 4","184","54","1","126","0"
"20-670 University No. 5","737","138","5","350","3"
"21-705 East Anchorage No. 1","374","99","5","267","4"
"21-710 East Anchorage No. 2","511","101","5","168","1"
"21-715 East Anchorage No. 3","628","147","9","230","4"
"21-720 East Anchorage No. 4","476","96","2","266","1"
"21-725 East Anchorage No. 5","670","136","4","338","3"
"22-750 Northeast Anchorage No. 1","404","106","6","186","2"
"22-755 Northeast Anchorage No. 2","395","90","4","160","0"
"22-760 Northeast Anchorage No. 3","447","113","7","234","0"
"22-765 Northeast Anchorage No. 4","262","80","3","129","0"
"23-805 Chugach Park No. 1","811","131","7","296","2"
"23-810 Eagle River No. 1","558","84","7","127","0"
"23-815 Eagle River No. 2","504","81","6","141","0"
"23-820 Hiland","501","73","6","118","0"
"23-825 Meadow Creek No. 1","572","112","7","177","1"
"23-830 Meadow Creek No. 2","366","49","6","97","0"
"24-850 Chugach Park No. 2","601","70","5","139","1"
"24-855 Chugiak","272","32","0","66","0"
"24-860 Eagle River No. 3","437","61","3","110","0"
"24-865 Eklutna","546","93","2","130","0"
"24-870 Fire Lake","627","67","6","136","0"
