"1","Dunleavy/Dahlstrom","Walker/Drygas","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","251","201","8","39","0"
"01-610 Ketchikan No. 2","376","300","14","48","1"
"01-620 Ketchikan No. 3","345","158","4","35","0"
"01-640 North Tongass No. 1","246","108","7","17","0"
"01-650 North Tongass No. 2","472","225","9","36","0"
"01-660 Saxman","44","53","1","16","0"
"01-670 South Tongass","378","240","6","25","0"
"01-675 Coffman Cove","60","17","2","8","0"
"01-680 Metlakatla","202","148","14","43","0"
"01-690 Wrangell","413","213","3","56","0"
"02-700 Angoon","35","64","4","29","0"
"02-705 Craig","186","109","8","30","0"
"02-720 Hoonah","115","85","3","50","0"
"02-725 Hydaburg","15","39","1","14","0"
"02-730 Kake","35","66","5","17","1"
"02-735 Kasaan","16","8","1","3","0"
"02-740 Klawock","162","93","5","21","0"
"02-750 Pelican-Elfin Cove","20","16","0","2","0"
"02-755 Petersburg-Kupreanof","396","394","7","64","0"
"02-760 Port Alexander","5","9","0","1","0"
"02-765 Sitka No. 1","426","544","20","85","1"
"02-770 Sitka No. 2","394","566","21","91","0"
"02-775 Tenakee Springs","6","33","1","4","0"
"02-780 Thorne Bay","121","28","4","8","0"
"02-785 Yakutat","65","104","1","10","0"
"03-300 Auke Bay","214","306","0","24","0"
"03-305 Lynn Canal","167","288","1","17","1"
"03-310 Melvin Park","238","284","4","24","1"
"03-315 Mendenhall Glacier","439","441","6","48","0"
"03-320 Thunder Mountain","416","373","6","57","0"
"03-325 Gustavus","64","104","3","18","0"
"03-330 Haines No. 1","260","338","10","61","0"
"03-335 Haines No. 2","49","53","3","10","0"
"03-340 Klukwan","9","30","1","5","0"
"03-345 Skagway","101","200","6","42","1"
"04-100 Douglas","130","416","1","24","0"
"04-105 Juneau Airport Area","140","126","4","23","0"
"04-110 Juneau No. 1","147","346","5","29","0"
"04-115 Juneau No. 2","76","464","3","23","0"
"04-120 Juneau No. 3","78","201","6","12","2"
"04-125 Lemon Creek","211","233","6","38","0"
"04-130 Glacier Valley Area","200","186","2","28","0"
"04-135 North Douglas","114","352","3","21","0"
"05-800 Chiniak","16","20","0","2","0"
"05-810 Flats","231","158","6","33","0"
"05-815 Kodiak Island South","15","1","0","0","1"
"05-820 Kodiak No. 1","265","202","4","39","0"
"05-825 Kodiak No. 2","271","175","13","34","2"
"05-830 Mission Road","665","414","14","67","1"
"05-835 Old Harbor","13","12","1","1","0"
"05-840 Ouzinkie","18","16","3","12","0"
"05-845 Port Lions","34","17","0","2","0"
"05-860 Cordova","170","316","1","28","0"
"05-865 Seward-Lowell Point","283","231","3","42","0"
"05-870 Tatitlek","4","10","0","3","0"
"06-200 Anchor Point","669","149","9","70","0"
"06-210 Diamond Ridge","245","185","5","51","0"
"06-220 Fox River","186","79","1","20","0"
"06-230 Homer No. 1","351","283","17","85","0"
"06-240 Homer No. 2","361","230","7","59","1"
"06-250 Kachemak-Fritz Creek","356","358","7","69","0"
"06-260 Kasilof","817","238","14","103","1"
"06-270 Ninilchik","417","114","9","40","0"
"06-280 Seldovia-Kachemak Bay","74","77","3","16","0"
"07-005 Central","607","144","5","52","1"
"07-010 K Beach","832","161","9","45","2"
"07-015 Kenai No. 1","601","199","6","66","1"
"07-020 Kenai No. 2","344","104","5","47","1"
"07-025 Kenai No. 3","311","92","4","21","0"
"07-030 Soldotna","671","201","5","67","4"
"08-035 Bear Creek","374","202","7","52","1"
"08-040 Cooper Landing","69","59","1","12","0"
"08-045 Funny River No. 1","298","63","3","31","1"
"08-050 Funny River No. 2","308","51","4","21","1"
"08-055 Hope","25","32","0","7","0"
"08-060 Mackey Lake","522","99","6","43","0"
"08-065 Moose Pass","68","51","1","18","0"
"08-070 Nikiski","679","111","8","49","3"
"08-075 Salamatof","709","137","6","48","0"
"08-080 Sterling No. 1","615","114","7","35","0"
"08-085 Sterling No. 2","713","109","3","53","0"
"09-105 Girdwood","186","446","6","76","0"
"09-110 Indian","50","62","1","10","0"
"09-115 South Anchorage No. 1","641","399","7","56","0"
"09-120 South Anchorage No. 2","759","377","4","53","0"
"09-125 South Anchorage No. 3","615","384","7","69","0"
"09-130 South Anchorage No. 4","669","410","0","56","1"
"09-135 South Anchorage No. 5","283","173","0","27","0"
"09-140 Stuckagain Heights","71","77","1","3","0"
"09-145 Whittier","58","25","2","9","0"
"10-150 Dimond","378","192","7","60","0"
"10-155 Oceanview No. 1","522","335","6","63","1"
"10-160 Oceanview No. 2","385","262","13","40","3"
"10-165 Oceanview No. 3","518","307","10","71","1"
"10-170 Oceanview No. 4","460","291","4","46","0"
"10-175 Oceanview No. 5","367","206","6","40","1"
"11-205 Hillside No. 1","295","166","2","37","0"
"11-210 Hillside No. 2","609","356","8","60","0"
"11-215 Hillside No. 3","390","193","2","29","1"
"11-220 Hillside No. 4","430","189","3","37","0"
"11-225 Hillside No. 5","384","258","10","42","0"
"11-230 Hillside No. 6","485","337","5","28","1"
"11-235 Hillside No. 7","324","250","3","16","0"
"12-250 Southeast Anchorage No. 1","433","242","3","57","0"
"12-255 Southeast Anchorage No. 2","298","167","3","24","2"
"12-260 Southeast Anchorage No. 3","393","218","7","57","0"
"12-265 Southeast Anchorage No. 4","383","274","4","53","1"
"12-270 Southeast Anchorage No. 5","505","323","4","57","0"
"12-275 Southeast Anchorage No. 6","391","380","6","47","0"
"13-305 South Midtown No. 1","112","63","0","13","0"
"13-310 South Midtown No. 2","561","294","4","78","1"
"13-315 South Midtown No. 3","576","330","9","68","2"
"13-320 South Midtown No. 4","450","269","7","65","0"
"13-325 South Midtown No. 5","410","350","4","75","0"
"14-350 North Midtown No. 1","124","130","2","37","0"
"14-355 North Midtown No. 2","150","170","4","41","0"
"14-360 North Midtown No. 3","158","98","1","34","1"
"14-365 North Midtown No. 4","171","152","6","54","0"
"14-370 North Midtown No. 5","354","287","17","68","2"
"14-375 North Midtown No. 6","210","199","7","44","0"
"14-380 North Midtown No. 7","319","514","4","63","0"
"15-405 Southwest Anchorage No. 1","344","219","6","27","0"
"15-410 Southwest Anchorage No. 2","434","246","7","39","0"
"15-415 Southwest Anchorage No. 3","539","299","7","66","0"
"15-420 Southwest Anchorage No. 4","360","222","5","68","0"
"15-425 Southwest Anchorage No. 5","399","307","9","55","0"
"15-430 Southwest Anchorage No. 6","644","416","7","77","1"
"16-450 West Anchorage No. 1","209","420","1","26","0"
"16-455 West Anchorage No. 2","301","326","4","56","0"
"16-460 West Anchorage No. 3","455","448","5","63","0"
"16-465 West Anchorage No. 4","267","185","3","29","1"
"16-470 West Anchorage No. 5","465","339","6","53","1"
"16-475 West Anchorage No. 6","396","290","4","40","1"
"16-480 West Anchorage No. 7","269","208","6","54","0"
"17-505 Downtown Anchorage No. 1","132","204","3","33","0"
"17-510 Downtown Anchorage No. 2","159","328","5","44","2"
"17-515 Downtown Anchorage No. 3","129","222","3","8","1"
"17-520 Downtown Anchorage No. 4","240","303","4","67","1"
"17-525 Downtown Anchorage No. 5","160","212","7","44","0"
"17-530 Downtown Anchorage No. 6","113","130","5","49","0"
"17-535 Downtown Anchorage No. 7","160","169","11","56","0"
