"1","Gara/Cook","Pierce/Grunwald","Blank","Exhausted","Overvote"
"House District 1","2340","1870","90","2581","7"
"House District 10","3134","1969","75","1964","11"
"House District 11","3461","2511","49","2163","6"
"House District 12","3353","1651","33","1726","11"
"House District 13","2859","1414","34","1479","4"
"House District 14","3628","1181","66","1266","14"
"House District 15","3459","2208","63","1973","6"
"House District 16","4514","1648","47","1846","13"
"House District 17","4292","949","61","1152","11"
"House District 18","1122","653","28","486","8"
"House District 19","2148","777","53","740","10"
"House District 2","3291","1511","111","2649","5"
"House District 20","3077","1165","27","1189","11"
"House District 21","3716","1781","47","1747","22"
"House District 22","1935","1043","31","952","3"
"House District 23","3040","2814","58","2417","7"
"House District 24","2538","2728","47","2675","8"
"House District 25","2589","3012","57","2709","11"
"House District 26","1467","3117","76","2540","13"
"House District 27","1367","2847","65","2387","12"
"House District 28","1711","2806","43","2524","14"
"House District 29","2189","3049","49","2924","9"
"House District 3","4536","1696","73","2492","7"
"House District 30","2178","2994","99","2847","17"
"House District 31","2286","1557","58","1422","7"
"House District 32","1138","1199","25","1042","2"
"House District 33","1325","2857","28","2039","7"
"House District 34","2978","2638","52","2015","10"
"House District 35","3928","2088","50","1805","7"
"House District 36","2692","2180","70","2991","19"
"House District 37","1568","782","88","1219","8"
"House District 38","1855","813","109","964","22"
"House District 39","1751","895","70","1074","27"
"House District 4","5028","989","62","1622","12"
"House District 40","1097","458","33","884","4"
"House District 5","2526","1508","71","1879","5"
"House District 6","4081","3331","99","2327","9"
"House District 7","1883","2859","57","2629","15"
"House District 8","2166","3606","64","2947","10"
"House District 9","4819","2787","46","2623","9"
"Total","109065","77941","2364","76910","413"
