"1","Gara/Cook","Pierce/Grunwald","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","219","123","8","149","0"
"01-610 Ketchikan No. 2","278","161","14","285","1"
"01-620 Ketchikan No. 3","145","155","4","237","1"
"01-640 North Tongass No. 1","89","127","7","155","0"
"01-650 North Tongass No. 2","186","243","9","304","0"
"01-660 Saxman","40","20","1","52","1"
"01-670 South Tongass","202","214","6","227","0"
"01-675 Coffman Cove","15","26","2","44","0"
"01-680 Metlakatla","155","75","14","163","0"
"01-690 Wrangell","199","209","3","274","0"
"02-700 Angoon","54","14","4","59","1"
"02-705 Craig","102","95","8","128","0"
"02-720 Hoonah","79","59","3","112","0"
"02-725 Hydaburg","31","8","1","29","0"
"02-730 Kake","53","15","5","50","1"
"02-735 Kasaan","8","6","1","13","0"
"02-740 Klawock","83","81","5","111","1"
"02-750 Pelican-Elfin Cove","14","6","0","18","0"
"02-755 Petersburg-Kupreanof","297","220","7","337","0"
"02-760 Port Alexander","8","0","0","7","0"
"02-765 Sitka No. 1","478","237","20","340","1"
"02-770 Sitka No. 2","498","174","21","379","0"
"02-775 Tenakee Springs","27","5","1","11","0"
"02-780 Thorne Bay","29","66","4","62","0"
"02-785 Yakutat","76","39","1","64","0"
"03-300 Auke Bay","261","105","0","178","0"
"03-305 Lynn Canal","251","88","1","133","1"
"03-310 Melvin Park","238","128","4","180","1"
"03-315 Mendenhall Glacier","400","246","6","282","0"
"03-320 Thunder Mountain","327","177","6","342","0"
"03-325 Gustavus","102","34","3","50","0"
"03-330 Haines No. 1","305","152","10","202","0"
"03-335 Haines No. 2","50","27","3","35","0"
"03-340 Klukwan","24","10","1","10","0"
"03-345 Skagway","206","62","6","75","1"
"04-100 Douglas","375","60","1","135","0"
"04-105 Juneau Airport Area","117","76","4","96","0"
"04-110 Juneau No. 1","318","66","5","138","0"
"04-115 Juneau No. 2","447","45","3","71","0"
"04-120 Juneau No. 3","185","37","6","69","2"
"04-125 Lemon Creek","239","93","6","150","0"
"04-130 Glacier Valley Area","188","110","2","116","0"
"04-135 North Douglas","326","54","3","107","0"
"05-800 Chiniak","14","5","0","19","0"
"05-810 Flats","169","120","6","133","0"
"05-815 Kodiak Island South","2","4","0","10","1"
"05-820 Kodiak No. 1","201","126","4","178","1"
"05-825 Kodiak No. 2","162","121","13","198","1"
"05-830 Mission Road","388","374","14","384","1"
"05-835 Old Harbor","11","6","1","9","0"
"05-840 Ouzinkie","22","6","3","18","0"
"05-845 Port Lions","13","10","0","30","0"
"05-860 Cordova","245","117","1","152","0"
"05-865 Seward-Lowell Point","254","148","3","154","0"
"05-870 Tatitlek","6","2","0","9","0"
"06-200 Anchor Point","177","445","9","266","0"
"06-210 Diamond Ridge","219","147","5","115","0"
"06-220 Fox River","79","147","1","59","0"
"06-230 Homer No. 1","324","231","17","164","0"
"06-240 Homer No. 2","267","247","7","136","1"
"06-250 Kachemak-Fritz Creek","384","257","7","142","0"
"06-260 Kasilof","258","532","14","365","4"
"06-270 Ninilchik","131","240","9","200","0"
"06-280 Seldovia-Kachemak Bay","81","34","3","52","0"
"07-005 Central","166","334","5","302","2"
"07-010 K Beach","181","446","9","412","1"
"07-015 Kenai No. 1","217","383","6","266","1"
"07-020 Kenai No. 2","123","224","5","148","1"
"07-025 Kenai No. 3","94","163","4","167","0"
"07-030 Soldotna","237","357","5","346","3"
"08-035 Bear Creek","232","214","7","182","1"
"08-040 Cooper Landing","71","36","1","33","0"
"08-045 Funny River No. 1","79","170","3","143","1"
"08-050 Funny River No. 2","75","170","4","135","1"
"08-055 Hope","35","13","0","16","0"
"08-060 Mackey Lake","135","284","6","245","0"
"08-065 Moose Pass","62","39","1","36","0"
"08-070 Nikiski","131","425","8","283","3"
"08-075 Salamatof","156","459","6","279","0"
"08-080 Sterling No. 1","139","344","7","280","1"
"08-085 Sterling No. 2","130","427","3","318","0"
"09-105 Girdwood","501","96","6","111","0"
"09-110 Indian","61","27","1","34","0"
"09-115 South Anchorage No. 1","423","379","7","294","0"
"09-120 South Anchorage No. 2","396","422","4","371","0"
"09-125 South Anchorage No. 3","411","345","7","311","1"
"09-130 South Anchorage No. 4","431","374","0","329","2"
"09-135 South Anchorage No. 5","201","136","0","146","0"
"09-140 Stuckagain Heights","78","39","1","34","0"
"09-145 Whittier","33","14","2","45","0"
"10-150 Dimond","261","194","7","175","0"
"10-155 Oceanview No. 1","368","278","6","274","1"
"10-160 Oceanview No. 2","281","215","13","192","2"
"10-165 Oceanview No. 3","361","275","10","260","1"
"10-170 Oceanview No. 4","311","254","4","232","0"
"10-175 Oceanview No. 5","245","181","6","187","1"
"11-205 Hillside No. 1","190","163","2","145","0"
"11-210 Hillside No. 2","410","358","8","257","0"
"11-215 Hillside No. 3","195","226","2","190","2"
"11-220 Hillside No. 4","201","252","3","203","0"
"11-225 Hillside No. 5","266","202","10","216","0"
"11-230 Hillside No. 6","326","307","5","218","0"
"11-235 Hillside No. 7","235","175","3","180","0"
"12-250 Southeast Anchorage No. 1","315","216","3","201","0"
"12-255 Southeast Anchorage No. 2","183","149","3","157","2"
"12-260 Southeast Anchorage No. 3","297","180","7","191","0"
"12-265 Southeast Anchorage No. 4","325","188","4","198","0"
"12-270 Southeast Anchorage No. 5","380","244","4","260","1"
"12-275 Southeast Anchorage No. 6","403","206","6","208","1"
"13-305 South Midtown No. 1","75","59","0","54","0"
"13-310 South Midtown No. 2","380","272","4","281","1"
"13-315 South Midtown No. 3","424","286","9","265","1"
"13-320 South Midtown No. 4","367","204","7","213","0"
"13-325 South Midtown No. 5","432","181","4","222","0"
"14-350 North Midtown No. 1","166","56","2","69","0"
"14-355 North Midtown No. 2","191","92","4","78","0"
"14-360 North Midtown No. 3","140","72","1","79","0"
"14-365 North Midtown No. 4","217","82","6","78","0"
"14-370 North Midtown No. 5","345","174","17","189","3"
"14-375 North Midtown No. 6","239","111","7","102","1"
"14-380 North Midtown No. 7","541","162","4","193","0"
"15-405 Southwest Anchorage No. 1","227","203","6","160","0"
"15-410 Southwest Anchorage No. 2","271","240","7","208","0"
"15-415 Southwest Anchorage No. 3","359","301","7","242","2"
"15-420 Southwest Anchorage No. 4","288","208","5","154","0"
"15-425 Southwest Anchorage No. 5","335","229","9","197","0"
"15-430 Southwest Anchorage No. 6","450","369","7","318","1"
"16-450 West Anchorage No. 1","410","105","1","140","0"
"16-455 West Anchorage No. 2","371","146","4","166","0"
"16-460 West Anchorage No. 3","526","217","5","222","1"
"16-465 West Anchorage No. 4","214","129","3","138","1"
"16-470 West Anchorage No. 5","364","238","6","255","1"
"16-475 West Anchorage No. 6","324","197","4","204","2"
"16-480 West Anchorage No. 7","263","137","6","131","0"
"17-505 Downtown Anchorage No. 1","225","67","3","77","0"
"17-510 Downtown Anchorage No. 2","363","69","5","99","2"
"17-515 Downtown Anchorage No. 3","215","69","3","75","1"
"17-520 Downtown Anchorage No. 4","389","107","4","114","1"
"17-525 Downtown Anchorage No. 5","253","78","7","85","0"
"17-530 Downtown Anchorage No. 6","188","41","5","63","0"
"17-535 Downtown Anchorage No. 7","236","75","11","74","0"
"18-550 Government Hill","194","65","6","77","1"
"18-555 JBER","174","201","4","102","2"
"18-560 North Muldoon","152","77","4","63","0"
"18-565 Ship Creek","51","21","0","15","0"
"19-605 Airport Heights No. 1","468","116","3","144","2"
"19-610 Airport Heights No. 2","291","174","11","139","1"
"19-615 Mountainview No. 1","161","71","4","68","0"
"19-620 Mountainview No. 2","108","66","6","67","0"
"19-625 South Mountainview","161","111","4","93","0"
"20-650 University No. 1","118","54","1","40","2"
"20-655 University No. 2","355","149","5","192","1"
"20-660 University No. 3","439","191","6","167","1"
"20-665 University No. 4","209","84","1","71","0"
"20-670 University No. 5","582","346","5","298","2"
"21-705 East Anchorage No. 1","380","175","5","186","3"
"21-710 East Anchorage No. 2","311","247","5","222","1"
"21-715 East Anchorage No. 3","436","301","9","267","5"
"21-720 East Anchorage No. 4","404","223","2","211","1"
"21-725 East Anchorage No. 5","518","316","4","309","4"
"22-750 Northeast Anchorage No. 1","340","178","6","179","1"
"22-755 Northeast Anchorage No. 2","275","206","4","164","0"
"22-760 Northeast Anchorage No. 3","365","216","7","213","0"
"22-765 Northeast Anchorage No. 4","205","150","3","116","0"
"23-805 Chugach Park No. 1","417","436","7","385","2"
"23-810 Eagle River No. 1","208","292","7","269","0"
"23-815 Eagle River No. 2","246","268","6","211","1"
"23-820 Hiland","214","269","6","209","0"
"23-825 Meadow Creek No. 1","281","310","7","271","0"
"23-830 Meadow Creek No. 2","149","192","6","171","0"
"24-850 Chugach Park No. 2","227","281","5","302","1"
"24-855 Chugiak","104","135","0","131","0"
"24-860 Eagle River No. 3","176","211","3","221","0"
"24-865 Eklutna","227","269","2","272","1"
"24-870 Fire Lake","234","311","6","285","0"
"24-875 Peters Creek No. 1","254","428","4","401","0"
"24-880 Peters Creek No. 2","151","217","9","213","3"
"25-305 Butte","263","516","9","427","3"
"25-310 Greater Palmer","146","229","2","206","0"
"25-315 Lazy Mountain","200","300","11","266","0"
"25-320 Palmer City No. 1","210","219","2","190","1"
"25-325 Palmer City No. 2","152","211","5","138","0"
"25-330 Springer Loop","211","281","2","257","0"
"25-335 Walby","149","334","4","237","0"
"26-350 Fairview No. 1","60","234","3","219","0"
"26-355 Fairview No. 2","80","160","3","122","1"
"26-360 Knik Goose Bay No. 1","173","483","16","365","3"
"26-365 Knik Goose Bay No. 2","123","301","6","251","0"
"26-370 Knik Goose Bay No. 3","62","202","9","140","0"
"26-375 Mat-Su Campus","147","283","4","207","2"
"26-380 Snowshoe","155","424","4","402","2"
"27-405 Foothills","110","313","11","207","0"
"27-410 Meadow Lakes No. 1","157","425","8","381","3"
"27-415 Meadow Lakes No. 2","120","340","9","286","0"
"27-420 Wasilla No. 1","136","309","6","266","1"
"27-425 Wasilla No. 2","165","433","11","373","3"
"28-450 Lakes No. 1","116","252","6","178","3"
"28-455 Lakes No. 2","84","182","0","172","0"
"28-460 Seldon No. 1","128","341","2","297","2"
"28-465 Seldon No. 2","242","413","8","364","1"
"28-470 Seward Meridian","87","182","5","149","1"
"28-475 Trunk","169","329","7","249","2"
"28-480 Wasilla Lake","71","142","4","167","0"
"29-505 Farm Loop","191","434","3","377","1"
"29-510 Fishhook","280","573","4","444","2"
"29-515 Kings Lake","155","396","3","335","1"
"29-520 Lakes No. 3","87","159","2","131","0"
"29-525 Sheep Mountain","23","53","0","52","0"
"29-530 Sutton","114","161","2","191","0"
"29-535 Valdez No. 1","150","104","3","160","0"
"29-540 Valdez No. 2","82","57","1","92","0"
"29-545 Valdez No. 3","105","93","6","149","0"
