"1","Gara/Cook","Walker/Drygas","Blank","Exhausted","Overvote"
"01-600 Ketchikan No. 1","140","174","8","177","0"
"01-610 Ketchikan No. 2","168","275","14","280","2"
"01-620 Ketchikan No. 3","103","165","4","269","1"
"01-640 North Tongass No. 1","52","124","7","195","0"
"01-650 North Tongass No. 2","115","223","9","395","0"
"01-660 Saxman","28","50","1","34","1"
"01-670 South Tongass","103","270","6","270","0"
"01-675 Coffman Cove","11","27","2","47","0"
"01-680 Metlakatla","126","142","14","125","0"
"01-690 Wrangell","126","224","3","332","0"
"02-700 Angoon","43","55","4","29","1"
"02-705 Craig","74","99","8","152","0"
"02-720 Hoonah","70","85","3","95","0"
"02-725 Hydaburg","26","33","1","9","0"
"02-730 Kake","35","51","5","32","1"
"02-735 Kasaan","8","4","1","15","0"
"02-740 Klawock","66","97","5","112","1"
"02-750 Pelican-Elfin Cove","7","15","0","16","0"
"02-755 Petersburg-Kupreanof","159","366","7","329","0"
"02-760 Port Alexander","4","8","0","3","0"
"02-765 Sitka No. 1","283","467","20","305","1"
"02-770 Sitka No. 2","261","492","21","298","0"
"02-775 Tenakee Springs","20","18","1","5","0"
"02-780 Thorne Bay","28","34","4","95","0"
"02-785 Yakutat","38","99","1","42","0"
"03-300 Auke Bay","122","262","0","160","0"
"03-305 Lynn Canal","102","255","1","115","1"
"03-310 Melvin Park","117","254","4","175","1"
"03-315 Mendenhall Glacier","220","389","6","319","0"
"03-320 Thunder Mountain","190","327","6","329","0"
"03-325 Gustavus","58","84","3","44","0"
"03-330 Haines No. 1","185","258","10","216","0"
"03-335 Haines No. 2","33","36","3","43","0"
"03-340 Klukwan","14","23","1","7","0"
"03-345 Skagway","138","147","6","58","1"
"04-100 Douglas","149","332","1","89","0"
"04-105 Juneau Airport Area","74","102","4","113","0"
"04-110 Juneau No. 1","136","282","5","104","0"
"04-115 Juneau No. 2","177","332","3","54","0"
"04-120 Juneau No. 3","82","153","6","56","2"
"04-125 Lemon Creek","132","209","6","141","0"
"04-130 Glacier Valley Area","103","175","2","136","0"
"04-135 North Douglas","130","278","3","79","0"
"05-800 Chiniak","6","16","0","16","0"
"05-810 Flats","102","143","6","177","0"
"05-815 Kodiak Island South","3","1","0","12","1"
"05-820 Kodiak No. 1","133","192","4","181","0"
"05-825 Kodiak No. 2","111","175","13","195","1"
"05-830 Mission Road","248","412","14","486","1"
"05-835 Old Harbor","8","12","1","6","0"
"05-840 Ouzinkie","22","11","3","13","0"
"05-845 Port Lions","7","17","0","29","0"
"05-860 Cordova","110","286","1","118","0"
"05-865 Seward-Lowell Point","193","166","3","197","0"
"05-870 Tatitlek","4","10","0","3","0"
"06-200 Anchor Point","168","153","9","567","0"
"06-210 Diamond Ridge","158","110","5","213","0"
"06-220 Fox River","57","53","1","175","0"
"06-230 Homer No. 1","241","162","17","316","0"
"06-240 Homer No. 2","214","138","7","298","1"
"06-250 Kachemak-Fritz Creek","272","196","7","315","0"
"06-260 Kasilof","213","227","14","715","4"
"06-270 Ninilchik","114","106","9","351","0"
"06-280 Seldovia-Kachemak Bay","63","45","3","59","0"
"07-005 Central","127","175","5","501","1"
"07-010 K Beach","150","206","9","682","2"
"07-015 Kenai No. 1","186","212","6","468","1"
"07-020 Kenai No. 2","105","119","5","271","1"
"07-025 Kenai No. 3","80","93","4","251","0"
"07-030 Soldotna","192","211","5","537","3"
"08-035 Bear Creek","193","145","7","290","1"
"08-040 Cooper Landing","37","43","1","60","0"
"08-045 Funny River No. 1","74","62","3","256","1"
"08-050 Funny River No. 2","71","58","4","251","1"
"08-055 Hope","27","17","0","20","0"
"08-060 Mackey Lake","100","118","6","446","0"
"08-065 Moose Pass","48","30","1","59","0"
"08-070 Nikiski","115","144","8","580","3"
"08-075 Salamatof","134","169","6","591","0"
"08-080 Sterling No. 1","111","135","7","517","1"
"08-085 Sterling No. 2","104","149","3","622","0"
"09-105 Girdwood","357","236","6","115","0"
"09-110 Indian","48","37","1","37","0"
"09-115 South Anchorage No. 1","292","341","7","463","0"
"09-120 South Anchorage No. 2","272","334","4","583","0"
"09-125 South Anchorage No. 3","292","303","7","472","1"
"09-130 South Anchorage No. 4","296","351","0","487","2"
"09-135 South Anchorage No. 5","143","132","0","208","0"
"09-140 Stuckagain Heights","52","45","1","54","0"
"09-145 Whittier","28","27","2","37","0"
"10-150 Dimond","237","131","7","262","0"
"10-155 Oceanview No. 1","282","257","6","381","1"
"10-160 Oceanview No. 2","190","228","13","270","2"
"10-165 Oceanview No. 3","273","239","10","384","1"
"10-170 Oceanview No. 4","217","245","4","335","0"
"10-175 Oceanview No. 5","187","142","6","284","1"
"11-205 Hillside No. 1","160","127","2","211","0"
"11-210 Hillside No. 2","323","284","8","418","0"
"11-215 Hillside No. 3","143","184","2","284","2"
"11-220 Hillside No. 4","136","196","3","324","0"
"11-225 Hillside No. 5","171","217","10","296","0"
"11-230 Hillside No. 6","217","266","5","368","0"
"11-235 Hillside No. 7","141","188","3","261","0"
"12-250 Southeast Anchorage No. 1","255","175","3","302","0"
"12-255 Southeast Anchorage No. 2","142","140","3","207","2"
"12-260 Southeast Anchorage No. 3","232","166","7","269","1"
"12-265 Southeast Anchorage No. 4","243","190","4","278","0"
"12-270 Southeast Anchorage No. 5","280","245","4","359","1"
