"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Exhausted","Overvote"
"2","","Gara/Cook","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Gara/Cook","Overvote","","",""
"01-600 Ketchikan No. 1","167","27","0","44","29","13","0","71","29","18","83","0","8","10","0"
"01-610 Ketchikan No. 2","271","40","1","55","39","9","0","80","68","31","121","0","14","9","1"
"01-620 Ketchikan No. 3","265","28","1","47","31","4","0","40","43","24","51","0","4","4","0"
"01-640 North Tongass No. 1","189","17","0","38","11","2","0","22","25","15","46","0","7","6","0"
"01-650 North Tongass No. 2","380","24","0","62","21","6","0","64","61","19","81","0","9","15","0"
"01-660 Saxman","30","5","1","6","12","2","0","9","25","3","16","0","1","4","0"
"01-670 South Tongass","262","22","0","87","17","7","0","57","60","21","102","0","6","8","0"
"01-675 Coffman Cove","42","5","0","13","3","0","0","3","7","2","5","0","2","5","0"
"01-680 Metlakatla","120","29","0","38","38","15","0","44","50","20","34","0","14","5","0"
"01-690 Wrangell","310","25","0","71","34","7","0","60","52","31","70","0","3","22","0"
"02-700 Angoon","22","4","1","3","22","5","0","12","38","4","10","0","4","7","0"
"02-705 Craig","145","6","0","29","23","6","0","39","28","13","29","0","8","7","0"
"02-720 Hoonah","81","8","0","22","36","4","0","22","44","9","10","0","3","14","0"
"02-725 Hydaburg","9","4","0","1","14","1","0","7","20","5","7","0","1","0","0"
"02-730 Kake","26","5","0","3","11","1","0","18","25","6","17","0","5","6","1"
"02-735 Kasaan","14","0","0","2","2","0","0","6","2","0","0","0","1","1","0"
"02-740 Klawock","106","13","1","35","15","7","0","31","31","9","22","0","5","6","0"
"02-750 Pelican-Elfin Cove","16","0","0","4","2","0","0","5","4","2","5","0","0","0","0"
"02-755 Petersburg-Kupreanof","310","17","0","60","45","9","0","88","108","40","158","0","7","19","0"
"02-760 Port Alexander","3","0","0","2","1","0","0","3","1","1","4","0","0","0","0"
"02-765 Sitka No. 1","287","37","0","94","67","8","0","171","108","50","215","0","20","18","1"
"02-770 Sitka No. 2","283","22","0","77","76","12","0","151","136","36","243","0","21","15","0"
"02-775 Tenakee Springs","5","0","0","1","4","0","0","16","8","1","8","0","1","0","0"
"02-780 Thorne Bay","91","7","0","19","4","4","0","13","4","6","5","0","4","4","0"
"02-785 Yakutat","41","2","0","21","9","1","0","26","32","9","37","0","1","1","0"
"03-300 Auke Bay","155","12","0","45","19","2","0","89","51","28","138","0","0","5","0"
"03-305 Lynn Canal","115","15","0","35","17","2","0","68","48","23","149","0","1","0","1"
"03-310 Melvin Park","170","15","0","46","19","7","0","76","54","37","117","0","4","5","1"
"03-315 Mendenhall Glacier","310","36","0","81","39","12","0","133","74","50","184","0","6","9","0"
"03-320 Thunder Mountain","319","24","0","63","47","10","0","109","82","42","140","0","6","10","0"
"03-325 Gustavus","40","3","0","17","14","4","0","37","18","3","46","0","3","4","0"
"03-330 Haines No. 1","201","19","0","37","46","3","0","117","61","32","128","0","10","15","0"
"03-335 Haines No. 2","40","1","0","7","7","1","0","24","10","3","16","0","3","3","0"
"03-340 Klukwan","5","0","0","3","3","1","0","10","7","4","9","0","1","2","0"
"03-345 Skagway","57","13","0","22","41","9","0","75","33","20","72","0","6","1","1"
"04-100 Douglas","86","9","0","26","21","9","0","110","66","21","219","0","1","3","0"
"04-105 Juneau Airport Area","104","7","0","26","14","3","0","50","21","11","44","0","4","9","0"
"04-110 Juneau No. 1","99","5","0","37","24","6","0","101","44","24","177","0","5","5","0"
"04-115 Juneau No. 2","53","5","0","16","22","2","0","148","34","12","270","0","3","1","0"
"04-120 Juneau No. 3","54","3","0","17","10","4","0","65","27","11","98","0","6","2","2"
"04-125 Lemon Creek","134","24","0","44","31","9","0","68","49","25","91","0","6","7","0"
"04-130 Glacier Valley Area","130","18","0","46","22","6","0","57","22","19","88","0","2","6","0"
"04-135 North Douglas","77","13","0","22","19","2","0","96","47","19","190","0","3","2","0"
"05-800 Chiniak","15","1","0","0","1","0","0","4","6","1","9","0","0","1","0"
"05-810 Flats","173","15","0","41","29","2","0","56","19","9","74","0","6","4","0"
"05-815 Kodiak Island South","12","2","0","1","0","0","0","1","0","0","0","0","0","0","1"
"05-820 Kodiak No. 1","171","33","0","48","29","13","0","58","50","18","76","0","4","10","0"
