"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Overvote"
"2","","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Overvote","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Overvote","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Overvote","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Overvote","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","",""
"3","","","Overvote","Pierce/Grunwald","Walker/Drygas","","","Gara/Cook","Overvote","Walker/Drygas","","Gara/Cook","Overvote","Pierce/Grunwald","","","Overvote","Pierce/Grunwald","Walker/Drygas","","","Dunleavy/Dahlstrom","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Overvote","Pierce/Grunwald","","","Gara/Cook","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Overvote","Walker/Drygas","","","Dunleavy/Dahlstrom","Gara/Cook","Overvote","","","Gara/Cook","Overvote","Pierce/Grunwald","","Dunleavy/Dahlstrom","Overvote","Pierce/Grunwald","","","Dunleavy/Dahlstrom","Gara/Cook","Overvote","",""
"House District 1","1795","37","0","78","35","3","826","136","2","280","148","59","0","114","332","20","0","21","28","1","14","18","0","25","471","66","0","190","132","118","13","0","34","2","5","0","5","0","19","11","7","0","543","95","72","0","48","565","99","0","209","0","34","30","54","0","90","4"
"House District 10","1512","51","1","63","39","0","1080","135","0","294","142","64","0","103","416","51","0","25","39","1","18","22","0","47","927","159","0","264","66","100","10","0","35","3","4","0","14","0","7","9","5","0","232","78","42","0","43","606","141","0","158","0","12","19","30","0","75","11"
"House District 11","1605","44","0","59","53","0","1439","139","1","402","146","58","1","132","356","36","0","20","49","1","5","9","0","34","1103","213","1","283","52","142","10","0","34","3","3","0","3","0","8","15","8","0","313","99","78","1","50","711","178","0","170","0","9","32","29","0","49","4"
"House District 12","1328","58","0","70","59","3","904","158","0","228","128","90","0","91","442","35","0","24","60","1","11","17","0","27","981","230","2","263","32","77","10","1","28","3","10","0","6","0","7","4","2","0","206","64","70","0","46","574","156","0","183","0","6","19","19","0","33","8"
"House District 13","1162","43","0","108","60","0","746","124","0","231","84","67","0","69","454","42","0","41","44","0","16","22","1","37","803","182","1","263","33","79","11","1","16","1","10","0","5","0","4","6","5","0","198","35","38","0","23","385","101","0","151","0","12","11","27","0","34","4"
"House District 14","924","36","0","47","44","1","540","93","0","176","91","63","2","92","522","45","0","33","42","1","15","19","0","48","1123","194","1","387","56","69","7","0","25","4","7","0","9","0","5","15","6","0","210","41","47","0","43","634","129","0","198","0","6","13","15","0","66","11"
"House District 15","1452","69","0","53","59","2","1197","152","2","338","123","74","0","121","444","46","0","26","86","0","15","13","0","24","956","201","0","282","72","124","10","0","34","4","5","0","5","0","12","9","5","0","302","96","74","0","46","655","178","0","204","1","18","29","25","0","63","3"
"House District 16","1298","47","1","60","53","0","869","154","2","244","135","96","1","102","490","69","1","29","61","0","12","23","0","27","1404","235","1","349","31","72","22","1","29","2","6","0","2","0","7","5","2","0","309","104","90","0","40","973","217","0","276","1","12","20","26","0","47","11"
"House District 17","758","53","0","71","32","1","449","72","0","172","99","57","0","55","596","39","0","38","45","1","6","23","0","40","1435","213","2","364","23","60","7","1","11","1","10","0","3","1","3","3","6","0","244","51","65","0","30","859","166","0","187","1","9","11","22","0","61","9"
"House District 18","376","14","0","20","20","3","286","53","1","123","26","24","0","33","222","17","0","10","13","1","8","4","0","34","299","79","0","114","23","50","2","0","22","3","2","0","3","0","3","5","3","1","62","22","11","1","14","140","28","0","64","1","5","12","9","0","28","3"
"House District 19","533","44","0","36","39","0","311","80","1","129","31","52","0","55","366","36","0","25","44","0","9","14","0","30","621","133","0","189","38","42","10","0","17","4","8","0","5","0","3","13","7","0","155","21","32","0","27","303","90","0","85","0","3","8","15","1","53","10"
"House District 2","1550","26","0","46","17","2","563","66","0","209","140","48","0","128","505","21","0","20","19","0","17","13","0","55","727","118","0","227","145","91","9","0","37","4","3","0","11","1","19","25","10","0","849","110","38","0","76","947","123","0","324","0","29","30","55","0","111","3"
"House District 20","883","43","1","73","57","5","619","113","1","158","80","77","0","56","441","41","0","28","64","3","17","22","0","28","864","224","2","269","37","63","6","0","22","2","4","0","7","0","6","6","1","0","187","39","65","0","35","475","125","0","158","1","6","6","17","0","27","5"
"House District 21","1390","59","0","105","49","5","984","180","0","234","93","66","0","69","601","53","0","53","73","1","23","36","0","44","1139","226","0","327","42","101","23","1","28","3","10","0","1","0","6","8","8","0","215","49","54","0","25","503","130","1","173","1","10","18","30","0","47","16"
"House District 22","753","42","0","68","35","0","500","112","1","133","46","41","0","63","404","38","0","34","30","1","17","17","1","45","510","116","0","223","54","74","9","0","17","3","5","0","11","0","2","7","11","0","132","21","28","0","19","172","40","0","73","1","3","8","11","0","31","2"
"House District 23","1986","53","0","51","57","2","1618","176","0","410","137","67","0","135","398","55","0","26","53","0","12","14","0","31","920","209","1","239","68","179","16","0","54","4","2","0","4","0","3","17","9","0","227","67","56","0","46","528","121","0","149","0","19","34","19","1","58","5"
"House District 24","2231","49","1","69","47","3","1624","208","3","342","157","86","0","111","303","39","0","21","48","1","9","18","0","23","701","175","1","182","76","167","17","0","40","6","6","0","4","0","7","15","1","0","217","70","62","0","48","436","137","0","130","0","19","22","12","0","47","5"
"House District 25","2319","48","1","135","51","4","1799","294","2","391","121","68","0","76","352","59","0","37","52","0","14","25","0","39","658","124","0","218","108","155","17","0","41","3","9","0","8","0","8","15","5","0","218","51","41","0","30","422","117","0","128","1","11","15","25","0","57","6"
"House District 26","2289","43","0","62","36","0","1893","235","4","393","103","38","0","106","239","33","0","11","20","1","16","21","0","28","351","89","0","125","106","197","17","0","46","6","6","0","9","1","5","13","10","0","107","41","23","0","25","189","55","0","87","0","17","17","11","0","76","13"
"House District 27","2163","42","0","53","31","1","1638","236","4","377","69","39","0","70","225","33","0","22","38","1","19","19","0","16","315","105","0","119","111","204","19","0","49","6","10","0","4","1","9","19","9","0","124","31","25","0","30","151","52","0","62","1","11","29","11","0","65","10"
"House District 28","2252","45","0","88","46","6","1740","239","1","303","100","64","0","90","255","38","0","29","35","0","10","17","0","27","424","132","1","117","78","167","22","0","56","7","9","0","0","0","6","15","7","0","125","47","45","0","33","193","74","0","71","1","7","15","11","0","43","7"
"House District 29","2433","57","0","89","37","5","1832","255","3","390","117","35","0","97","287","41","0","25","29","1","8","20","0","27","537","122","0","158","80","178","19","0","45","3","5","0","5","0","3","17","5","0","303","71","66","0","47","417","107","1","125","0","21","17","27","0","49","4"
"House District 3","1426","38","1","43","33","0","730","94","0","264","156","60","0","115","448","27","0","13","32","0","11","8","0","38","1135","153","1","338","84","88","9","0","30","1","6","0","4","0","15","24","5","0","782","128","84","0","85","1405","216","2","450","1","40","55","47","0","73","6"
"House District 30","2476","54","0","80","30","2","1696","271","1","359","105","43","0","108","333","47","0","23","28","0","19","17","0","34","614","112","0","172","162","207","28","1","50","2","5","0","12","2","5","15","10","0","225","41","26","0","22","376","62","1","107","1","14","17","7","0","99","14"
"House District 31","906","25","1","53","45","0","711","129","1","250","82","62","0","105","290","18","1","27","36","1","6","14","0","27","467","112","0","204","41","70","9","0","41","2","6","0","5","0","8","24","11","1","366","68","59","0","61","533","104","0","201","0","18","30","33","1","58","7"
"House District 32","780","14","0","24","22","1","613","100","0","182","61","66","0","64","134","14","0","7","13","0","5","7","0","8","223","61","0","97","36","56","9","0","35","0","5","0","3","0","3","11","5","1","169","32","43","0","36","236","59","0","105","0","7","14","19","0","25","1"
"House District 33","1689","26","0","90","30","0","1608","211","1","442","96","30","0","91","173","25","0","16","20","1","7","14","0","12","271","69","0","104","83","169","23","0","50","7","6","0","6","0","14","19","6","0","201","53","43","1","44","219","62","0","113","0","15","35","27","0","28","6"
"House District 34","1486","32","0","44","36","2","1466","177","1","355","130","50","0","146","232","12","0","12","20","1","5","7","0","29","706","112","1","213","81","126","16","0","38","4","5","0","13","0","9","15","11","0","321","78","64","0","78","976","127","0","299","0","22","26","49","0","52","8"
"House District 35","1137","34","0","37","40","0","1039","134","0","354","111","44","0","116","300","31","0","19","26","0","13","15","0","24","979","149","0","335","60","103","19","1","40","1","1","0","5","1","13","17","5","0","470","87","71","1","54","1291","180","0","340","1","37","49","38","1","50","5"
"House District 36","2240","37","1","64","49","0","1155","165","1","301","134","157","3","98","325","23","0","9","41","1","6","15","0","21","548","103","0","160","108","125","15","0","47","5","10","0","8","0","12","16","2","0","549","68","140","0","53","636","121","1","234","0","12","17","30","0","70","16"
"House District 37","763","14","1","106","57","2","219","74","1","124","51","79","0","90","294","20","1","32","34","3","9","22","0","31","247","76","1","125","46","30","10","1","22","4","12","0","5","0","4","10","10","0","371","34","69","0","44","162","68","0","117","1","13","14","49","0","88","5"
