"1","Bynum","Ortiz","Blank","Overvote"
"01-600 Ketchikan No. 1","209","281","9","0"
"01-610 Ketchikan No. 2","297","432","10","0"
"01-620 Ketchikan No. 3","270","257","14","1"
"01-640 North Tongass No. 1","226","143","9","0"
"01-650 North Tongass No. 2","449","280","13","0"
"01-660 Saxman","45","67","2","0"
"01-670 South Tongass","349","293","7","0"
"01-675 Coffman Cove","52","26","9","0"
"01-680 Metlakatla","92","305","9","1"
"01-690 Wrangell","364","310","11","0"
"District 1 - Absentee","698","1005","45","0"
"District 1 - Early Voting","3","10","1","0"
"District 1  - Question","123","112","48","1"
"Total","3177","3521","187","3"
