"1","Insalaco","Johnson","Blank","Exhausted","Overvote"
"10-150 Dimond","134","341","27","135","0"
"10-155 Oceanview No. 1","165","549","34","179","0"
"10-160 Oceanview No. 2","109","416","23","154","1"
"10-165 Oceanview No. 3","158","534","38","177","0"
"10-170 Oceanview No. 4","126","497","15","163","0"
"10-175 Oceanview No. 5","121","346","30","123","0"
"District 10 - Absentee","329","752","79","451","1"
"District 10 - Early Voting","157","414","26","225","0"
"District 10  - Question","9","21","88","6","0"
"Total","1308","3870","360","1613","2"
