"1","Insalaco","Insalaco","Insalaco","Johnson","Johnson","Johnson","Johnson","Storm","Storm","Storm","Blank","Overvote"
"2","","Johnson","Storm","","Insalaco","Overvote","Storm","","Insalaco","Johnson","",""
"10-150 Dimond","14","18","11","187","96","0","26","135","91","32","27","0"
"10-155 Oceanview No. 1","11","28","10","321","133","0","40","179","116","55","34","0"
"10-160 Oceanview No. 2","5","11","15","249","104","0","35","154","78","28","23","1"
"10-165 Oceanview No. 3","16","20","25","323","132","0","34","177","97","45","38","0"
"10-170 Oceanview No. 4","10","18","4","300","119","0","39","163","94","39","15","0"
"10-175 Oceanview No. 5","11","16","10","235","72","0","21","123","84","18","30","0"
"District 10 - Absentee","19","22","26","463","154","1","44","451","262","90","79","1"
"District 10 - Early Voting","9","24","8","250","95","0","20","225","116","49","26","0"
"District 10  - Question","1","3","1","7","5","0","6","6","4","3","88","0"
"Total","96","160","110","2335","910","1","265","1613","942","359","360","2"
