"1","Bieling","Coulombe","Blank","Exhausted","Overvote"
"11-205 Hillside No. 1","140","217","26","117","0"
"11-210 Hillside No. 2","264","468","51","250","0"
"11-215 Hillside No. 3","148","294","34","139","0"
"11-220 Hillside No. 4","140","340","38","141","0"
"11-225 Hillside No. 5","135","321","50","188","0"
"11-230 Hillside No. 6","177","426","32","220","1"
"11-235 Hillside No. 7","125","280","18","169","1"
"District 11 - Absentee","293","789","130","772","2"
"District 11 - Early Voting","196","479","42","360","1"
"District 11  - Question","32","27","95","22","0"
"Total","1650","3641","516","2378","5"
