"1","Bieling","Featherly","Blank","Exhausted","Overvote"
"11-205 Hillside No. 1","208","206","26","60","0"
"11-210 Hillside No. 2","416","421","51","145","0"
"11-215 Hillside No. 3","262","220","34","99","0"
"11-220 Hillside No. 4","289","220","38","112","0"
"11-225 Hillside No. 5","241","276","50","127","0"
"11-230 Hillside No. 6","318","375","32","130","1"
"11-235 Hillside No. 7","192","272","18","110","1"
"District 11 - Absentee","498","1118","130","239","1"
"District 11 - Early Voting","370","545","42","121","0"
"District 11  - Question","40","33","95","8","0"
"Total","2834","3686","516","1151","3"
