"1","Coulombe","Featherly","Blank","Exhausted","Overvote"
"11-205 Hillside No. 1","235","199","26","40","0"
"11-210 Hillside No. 2","507","407","51","68","0"
"11-215 Hillside No. 3","324","213","34","44","0"
"11-220 Hillside No. 4","373","212","38","36","0"
"11-225 Hillside No. 5","343","266","50","35","0"
"11-230 Hillside No. 6","419","365","32","39","1"
"11-235 Hillside No. 7","277","266","18","31","1"
"District 11 - Absentee","706","1081","130","68","1"
"District 11 - Early Voting","456","524","42","56","0"
"District 11  - Question","37","32","95","12","0"
"Total","3677","3565","516","429","3"
