"1","Bieling","Bieling","Bieling","Bieling","Bieling","Bieling","Bieling","Bieling","Bieling","Coulombe","Coulombe","Coulombe","Coulombe","Coulombe","Coulombe","Coulombe","Coulombe","Coulombe","Featherly","Featherly","Featherly","Featherly","Featherly","Featherly","Featherly","Featherly","Featherly","Featherly","Featherly","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Coulombe","Coulombe","Coulombe","Featherly","Featherly","Write-in","Write-in","Write-in","","Bieling","Bieling","Bieling","Featherly","Featherly","Write-in","Write-in","Write-in","","Bieling","Bieling","Bieling","Coulombe","Coulombe","Coulombe","Overvote","Write-in","Write-in","Write-in","","","Bieling","Bieling","Coulombe","Coulombe","Featherly","Featherly",""
"3","","","Featherly","Write-in","","Coulombe","","Coulombe","Featherly","","","Featherly","Write-in","","Bieling","","Bieling","Featherly","","","Coulombe","Write-in","","Bieling","Write-in","","","Bieling","Coulombe","","","","Featherly","","Bieling","","Coulombe",""
"11-205 Hillside No. 1","40","41","17","0","2","9","0","0","0","59","55","40","3","4","14","0","0","0","117","1","30","0","9","30","0","0","0","0","0","0","0","0","0","1","1","0","1","26"
"11-210 Hillside No. 2","68","81","44","1","3","13","0","0","0","145","142","63","1","15","14","0","0","1","249","9","45","0","21","65","0","0","1","0","1","0","2","0","0","0","0","0","0","49"
"11-215 Hillside No. 3","44","39","26","2","0","5","0","0","0","99","96","48","1","4","8","0","0","0","139","5","27","0","13","22","0","0","0","0","2","0","0","0","0","0","1","0","0","34"
"11-220 Hillside No. 4","36","44","19","1","3","5","0","0","0","112","134","44","2","5","11","0","0","0","141","7","21","2","14","17","0","0","0","2","0","0","1","0","0","0","1","0","0","37"
"11-225 Hillside No. 5","34","39","19","0","1","3","0","0","0","127","105","33","4","6","8","0","2","0","188","9","29","0","17","19","0","0","0","0","0","0","1","1","0","0","0","0","0","49"
"11-230 Hillside No. 6","39","58","18","0","3","4","0","0","0","130","157","36","2","9","7","0","0","1","217","17","38","0","37","44","1","0","2","0","1","1","3","0","0","0","1","1","0","29"
"11-235 Hillside No. 7","31","38","6","2","4","3","0","0","1","110","88","14","1","7","8","0","1","0","168","14","24","0","22","26","1","0","1","1","0","1","0","0","1","0","2","0","0","18"
"District 11 - Absentee","67","70","27","0","6","8","0","1","0","232","245","67","6","23","28","1","0","0","765","35","71","3","78","103","0","1","7","4","0","1","6","1","0","6","0","0","0","124"
"District 11 - Early Voting","54","51","17","1","4","2","1","0","0","117","182","49","4","5","22","1","3","0","356","18","46","1","32","56","1","1","3","0","3","0","3","1","0","3","1","1","0","39"
"District 11  - Question","12","6","8","0","1","0","0","0","0","8","8","5","0","2","0","0","0","0","22","0","5","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","95"
"Total","425","467","201","7","27","52","1","1","1","1139","1212","399","24","80","120","2","6","2","2362","115","336","6","244","385","3","2","14","7","7","3","16","3","1","10","7","2","1","500"
