"1","McDonald","Schrage","Blank","Overvote"
"12-250 Southeast Anchorage No. 1","352","355","28","0"
"12-255 Southeast Anchorage No. 2","244","238","12","0"
"12-260 Southeast Anchorage No. 3","293","360","22","0"
"12-265 Southeast Anchorage No. 4","336","361","18","0"
"12-270 Southeast Anchorage No. 5","397","471","21","0"
"12-275 Southeast Anchorage No. 6","325","487","12","0"
"District 12 - Absentee","388","988","66","0"
"District 12 - Early Voting","303","536","13","1"
"District 12  - Question","17","31","99","0"
"Total","2655","3827","291","1"
