"1","Henslee","Henslee","Henslee","Josephson","Josephson","Josephson","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Josephson","Write-in","","Henslee","Write-in","","Henslee","Josephson","",""
"13-305 South Midtown No. 1","81","27","0","51","23","4","0","0","0","2","0"
"13-310 South Midtown No. 2","395","118","7","272","118","11","1","0","0","16","0"
"13-315 South Midtown No. 3","414","104","6","321","110","11","1","0","0","17","1"
"13-320 South Midtown No. 4","298","94","8","234","125","5","1","1","0","24","1"
"13-325 South Midtown No. 5","286","76","7","332","117","6","0","0","0","15","0"
"District 13 - Absentee","301","49","14","568","159","24","2","0","1","71","0"
"District 13 - Early Voting","267","39","11","304","94","8","0","0","0","7","0"
"District 13  - Question","14","5","1","9","3","0","1","0","0","97","0"
"Total","2056","512","54","2091","749","69","6","1","1","249","2"
