"1","Danger","Galvin","Blank","Overvote"
"14-350 North Midtown No. 1","107","177","9","0"
"14-355 North Midtown No. 2","140","212","13","0"
"14-360 North Midtown No. 3","120","160","12","0"
"14-365 North Midtown No. 4","121","248","14","0"
"14-370 North Midtown No. 5","301","389","37","1"
"14-375 North Midtown No. 6","168","278","14","0"
"14-380 North Midtown No. 7","296","574","30","0"
"District 14 - Absentee","292","1042","82","0"
"District 14 - Early Voting","308","714","27","0"
"District 14  - Question","16","27","226","0"
"Total","1869","3821","464","1"
