"1","Danger","Danger","Danger","Danger","Galvin","Galvin","Galvin","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Galvin","Overvote","Write-in","","Danger","Write-in","","Danger","Galvin","",""
"14-350 North Midtown No. 1","92","15","0","0","132","42","2","1","0","1","8","0"
"14-355 North Midtown No. 2","107","31","0","2","162","49","1","0","0","0","13","0"
"14-360 North Midtown No. 3","95","22","0","3","117","40","2","3","0","1","9","0"
"14-365 North Midtown No. 4","86","34","0","1","139","103","6","0","0","0","14","0"
"14-370 North Midtown No. 5","242","50","0","8","269","111","9","1","1","0","36","1"
"14-375 North Midtown No. 6","135","33","0","0","198","79","0","2","0","1","12","0"
"14-380 North Midtown No. 7","238","53","0","5","467","100","7","3","0","0","27","0"
"District 14 - Absentee","237","51","1","2","818","211","12","3","1","1","79","0"
"District 14 - Early Voting","252","50","0","3","568","134","11","5","3","1","22","0"
"District 14  - Question","14","1","0","1","17","10","0","0","0","0","226","0"
"Total","1498","340","1","25","2887","879","50","18","5","5","446","1"
