"1","McKay","Wells","Blank","Exhausted","Overvote"
"15-405 Southwest Anchorage No. 1","303","238","30","25","0"
"15-410 Southwest Anchorage No. 2","370","290","29","36","1"
"15-415 Southwest Anchorage No. 3","449","372","38","51","1"
"15-420 Southwest Anchorage No. 4","279","307","23","45","1"
"15-425 Southwest Anchorage No. 5","348","360","40","22","0"
"15-430 Southwest Anchorage No. 6","628","431","39","46","1"
"District 15 - Absentee","642","991","76","44","1"
"District 15 - Early Voting","438","469","20","29","0"
"District 15  - Question","26","18","147","5","0"
"Total","3483","3476","442","303","5"
