"1","Eibeck","Eibeck","Eibeck","McKay","McKay","McKay","McKay","Wells","Wells","Wells","Wells","Blank","Overvote"
"2","","McKay","Wells","","Eibeck","Overvote","Wells","","Eibeck","McKay","Overvote","",""
"15-405 Southwest Anchorage No. 1","25","63","9","83","147","0","10","167","41","21","0","30","0"
"15-410 Southwest Anchorage No. 2","36","74","8","90","197","0","9","183","66","33","0","29","1"
"15-415 Southwest Anchorage No. 3","51","108","7","119","211","1","10","243","84","38","0","38","1"
"15-420 Southwest Anchorage No. 4","45","63","11","66","135","0","15","184","75","37","0","23","1"
"15-425 Southwest Anchorage No. 5","22","70","11","87","186","0","5","251","58","39","1","40","0"
"15-430 Southwest Anchorage No. 6","46","94","14","206","309","1","18","283","86","48","0","39","1"
"District 15 - Absentee","44","79","15","225","319","0","19","722","168","86","0","76","1"
"District 15 - Early Voting","29","85","17","119","224","1","9","317","86","49","0","20","0"
"District 15  - Question","5","8","0","9","8","0","1","14","1","3","0","147","0"
"Total","303","644","92","1004","1736","3","96","2364","665","354","1","442","5"
