"1","Eibeck","Eibeck","Eibeck","Eibeck","Eibeck","Eibeck","Eibeck","McKay","McKay","McKay","McKay","McKay","McKay","McKay","McKay","McKay","Overvote","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Wells","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","McKay","McKay","McKay","Wells","Wells","Write-in","","Eibeck","Eibeck","Eibeck","Overvote","Wells","Wells","Write-in","Write-in","","","Eibeck","Eibeck","Eibeck","McKay","McKay","McKay","Overvote","Write-in","Write-in","Write-in","","Eibeck","Eibeck","McKay","McKay","McKay","Wells","Wells",""
"3","","","Wells","Write-in","","McKay","","","","Wells","Write-in","","","Eibeck","","Eibeck","","","","McKay","Write-in","","Eibeck","Write-in","","","Eibeck","McKay","","","McKay","","Eibeck","Wells","","McKay",""
"15-405 Southwest Anchorage No. 1","25","51","12","0","4","5","0","83","110","35","1","0","4","6","0","1","0","167","6","35","0","5","14","1","0","0","0","0","0","0","0","0","0","0","0","1","30"
"15-410 Southwest Anchorage No. 2","36","54","20","0","2","6","0","90","145","49","3","0","5","4","0","0","1","181","9","56","0","5","27","0","0","2","1","1","0","0","0","0","0","0","0","0","29"
"15-415 Southwest Anchorage No. 3","51","70","34","4","3","4","0","117","150","56","4","1","4","6","1","1","1","241","9","71","0","8","27","0","0","2","4","2","1","0","0","1","0","0","0","1","37"
"15-420 Southwest Anchorage No. 4","44","41","21","1","2","9","1","66","94","38","3","0","3","12","0","0","1","182","9","65","0","9","27","0","0","2","1","1","0","0","0","0","0","0","0","0","23"
"15-425 Southwest Anchorage No. 5","22","53","16","1","4","7","0","87","141","41","4","0","2","2","0","0","0","248","12","45","0","7","32","0","1","2","1","0","1","0","0","0","0","1","1","0","39"
"15-430 Southwest Anchorage No. 6","45","66","25","3","4","10","0","204","221","78","8","1","3","15","1","0","1","282","16","70","0","15","33","0","0","1","0","0","3","1","0","1","2","0","0","0","36"
"District 15 - Absentee","44","56","22","1","5","10","0","219","244","66","4","0","4","14","2","0","1","714","63","97","2","29","56","0","0","8","6","1","8","0","0","4","5","1","0","0","68"
"District 15 - Early Voting","29","68","16","0","6","11","0","116","179","38","7","1","8","1","2","0","0","315","22","61","1","16","32","0","0","2","2","1","1","0","1","1","0","0","0","0","19"
"District 15  - Question","5","6","2","0","0","0","0","9","7","1","0","0","0","1","0","0","0","14","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","147"
"Total","301","465","168","10","30","62","1","991","1291","402","34","3","33","61","6","2","5","2344","146","501","3","94","251","1","1","19","15","6","14","1","1","7","7","2","1","2","428"
