"1","Armstrong","Vazquez","Blank"
"16-450 West Anchorage No. 1","419","224","13"
"16-455 West Anchorage No. 2","346","323","18"
"16-460 West Anchorage No. 3","484","459","28"
"16-465 West Anchorage No. 4","197","276","12"
"16-470 West Anchorage No. 5","339","504","21"
"16-475 West Anchorage No. 6","313","403","15"
"16-480 West Anchorage No. 7","261","266","10"
"District 16 - Absentee","1156","562","92"
"District 16 - Early Voting","722","405","26"
"District 16  - Question","12","16","146"
"Total","4249","3438","381"
