"1","Drummond","Fields","Blank","Overvote"
"17-505 Downtown Anchorage No. 1","118","193","61","0"
"17-510 Downtown Anchorage No. 2","183","286","68","1"
"17-515 Downtown Anchorage No. 3","99","207","57","0"
"17-520 Downtown Anchorage No. 4","244","263","108","0"
"17-525 Downtown Anchorage No. 5","132","208","82","1"
"17-530 Downtown Anchorage No. 6","105","143","49","0"
"17-535 Downtown Anchorage No. 7","126","196","73","1"
"District 17 - Absentee","609","789","278","1"
"District 17 - Early Voting","638","715","198","0"
"District 17  - Question","30","34","169","0"
"Total","2284","3034","1143","4"
