"1","Drummond","Drummond","Drummond","Drummond","Fields","Fields","Fields","Overvote","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Fields","Overvote","Write-in","","Drummond","Write-in","","","Drummond","Fields","Overvote",""
"17-505 Downtown Anchorage No. 1","68","50","0","0","96","97","0","0","10","0","0","0","51"
"17-510 Downtown Anchorage No. 2","97","86","0","0","156","129","1","1","15","0","0","0","53"
"17-515 Downtown Anchorage No. 3","55","44","0","0","112","93","2","0","9","0","0","0","48"
"17-520 Downtown Anchorage No. 4","117","126","0","0","111","148","3","0","11","1","1","0","97"
"17-525 Downtown Anchorage No. 5","59","72","0","0","92","116","0","0","7","1","0","1","75"
"17-530 Downtown Anchorage No. 6","51","52","0","2","76","66","0","0","5","0","1","0","44"
"17-535 Downtown Anchorage No. 7","53","71","0","1","93","101","1","1","7","1","1","0","66"
"District 17 - Absentee","274","327","0","3","348","439","2","1","22","5","0","0","256"
"District 17 - Early Voting","304","324","1","4","344","366","3","0","29","5","2","0","169"
"District 17  - Question","17","11","1","0","13","21","0","0","2","1","0","0","167"
"Total","1095","1163","2","10","1441","1576","12","3","117","14","5","1","1026"
