"1","Himschoot","Skaflestad","Blank","Overvote"
"02-700 Angoon","73","51","8","0"
"02-705 Craig","115","193","25","0"
"02-720 Hoonah","112","131","10","0"
"02-725 Hydaburg","40","23","6","0"
"02-730 Kake","66","53","5","0"
"02-735 Kasaan","10","14","4","0"
"02-740 Klawock","100","174","7","0"
"02-750 Pelican-Elfin Cove","18","19","1","0"
"02-755 Petersburg-Kupreanof","388","430","43","0"
"02-760 Port Alexander","12","2","1","0"
"02-765 Sitka No. 1","668","365","43","0"
"02-770 Sitka No. 2","716","327","29","0"
"02-775 Tenakee Springs","42","2","0","0"
"02-780 Thorne Bay","33","116","12","0"
"02-785 Yakutat","106","61","13","0"
"District 2 - Absentee","1619","953","137","1"
"District 2 - Early Voting","28","21","2","0"
"District 2  - Question","24","17","98","0"
"Total","4170","2952","444","1"
