"1","Himschoot","Himschoot","Himschoot","Skaflestad","Skaflestad","Skaflestad","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Skaflestad","Write-in","","Himschoot","Write-in","","Himschoot","Skaflestad","",""
"02-700 Angoon","58","15","0","36","15","0","0","0","0","8","0"
"02-705 Craig","71","44","0","153","40","0","0","0","0","25","0"
"02-720 Hoonah","84","26","1","101","29","1","0","1","0","10","0"
"02-725 Hydaburg","30","10","0","15","8","0","0","0","0","6","0"
"02-730 Kake","54","12","0","37","15","0","0","0","1","5","0"
"02-735 Kasaan","6","4","0","11","3","0","1","0","0","3","0"
"02-740 Klawock","54","45","1","134","39","1","1","0","0","6","0"
"02-750 Pelican-Elfin Cove","12","6","0","14","5","0","0","0","0","1","0"
"02-755 Petersburg-Kupreanof","292","96","0","353","75","2","0","0","0","43","0"
"02-760 Port Alexander","10","2","0","2","0","0","0","0","0","1","0"
"02-765 Sitka No. 1","485","175","6","262","95","8","4","2","0","39","0"
"02-770 Sitka No. 2","576","135","4","256","67","3","1","1","1","28","0"
"02-775 Tenakee Springs","36","6","0","2","0","0","0","0","0","0","0"
"02-780 Thorne Bay","20","13","0","88","28","0","0","0","0","12","0"
"02-785 Yakutat","66","40","0","37","24","0","1","0","0","12","0"
"District 2 - Absentee","1280","326","11","785","159","9","10","2","0","127","1"
"District 2 - Early Voting","18","10","0","11","10","0","0","0","0","2","0"
"District 2  - Question","15","9","0","14","3","0","0","0","0","98","0"
"Total","3167","974","23","2311","615","24","18","6","2","426","1"
