"1","Bauer","Bauer","Bauer","Bauer","Gray","Gray","Gray","Gray","Harary","Harary","Harary","Harary","Blank","Exhausted","Overvote"
"2","","Gray","Harary","Overvote","","Bauer","Harary","Overvote","","Bauer","Gray","Overvote","","",""
"20-650 University No. 1","18","5","31","0","76","10","19","0","12","20","8","0","13","2","1"
"20-655 University No. 2","60","10","102","0","224","43","61","0","65","56","21","0","39","21","0"
"20-660 University No. 3","61","9","123","0","268","58","88","0","47","83","22","1","37","6","1"
"20-665 University No. 4","31","9","51","0","121","27","42","0","22","33","11","0","14","4","0"
"20-670 University No. 5","135","19","242","0","348","89","85","2","85","128","27","0","59","11","3"
"District 20 - Absentee","110","20","149","2","573","79","109","2","39","45","17","0","94","12","1"
"District 20 - Early Voting","52","6","87","0","304","41","67","1","36","49","12","1","19","10","1"
"District 20  - Question","3","0","1","0","13","3","6","0","0","2","0","0","182","1","1"
"Total","470","78","786","2","1927","350","477","5","306","416","118","2","457","67","8"
