"1","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Gray","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Gray","Gray","Gray","Gray","Gray","Gray","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Overvote","Write-in","","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Harary","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Gray","Gray","Gray","Gray","Gray","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Kohlhaas","Overvote","Write-in","Write-in","","Bauer","Bauer","Bauer","Bauer","Bauer","Bauer","Gray","Gray","Gray","Gray","Gray","Gray","Harary","Harary","Harary","Harary","Harary","Harary","Overvote","","","Bauer","Bauer","Bauer","Harary","Harary",""
"3","","","Harary","Harary","Harary","Kohlhaas","Kohlhaas","","Gray","Gray","Kohlhaas","Kohlhaas","Kohlhaas","Write-in","Write-in","","Gray","Harary","Harary","","","","","Harary","Harary","Harary","Kohlhaas","Kohlhaas","Kohlhaas","Overvote","","Bauer","Bauer","Kohlhaas","Kohlhaas","Kohlhaas","Overvote","Write-in","Write-in","Write-in","","Bauer","Bauer","Harary","Harary","Harary","Overvote","Write-in","Write-in","","","Bauer","Bauer","Harary","Harary","Kohlhaas","Kohlhaas","","","Gray","Gray","Kohlhaas","Kohlhaas","Kohlhaas","Write-in","","Bauer","Bauer","Kohlhaas","Kohlhaas","","Bauer","Bauer","Gray","Gray","Gray","Write-in","","","Kohlhaas","","","Gray","Gray","Harary","Harary","Harary","","Bauer","Bauer","Harary","Harary","Write-in","","Bauer","Bauer","Gray","Gray","Write-in","","","","Harary","Harary","Kohlhaas","","Kohlhaas",""
"4","","","","Kohlhaas","Write-in","","Harary","","","Kohlhaas","","Gray","Write-in","","Kohlhaas","","Harary","","Gray","","","","","","Kohlhaas","Write-in","","Harary","Write-in","","","","Kohlhaas","","Bauer","Write-in","","","Bauer","Kohlhaas","","","Harary","","Bauer","Write-in","","","Harary","","","","Harary","Bauer","Kohlhaas","","Harary","","","","Kohlhaas","","Gray","Write-in","","","","Kohlhaas","","Bauer","","","Gray","","Bauer","Write-in","","","","","","","","Harary","","Gray","Write-in","","","Harary","","Bauer","Bauer","","","Gray","","Bauer","Overvote","","","","","Gray","","","Gray",""
"20-650 University No. 1","18","0","0","1","0","0","0","16","1","1","4","6","0","0","0","0","4","0","1","0","0","62","1","1","1","0","0","1","0","0","1","1","2","0","3","0","0","0","0","0","11","1","4","0","11","0","0","0","0","0","0","0","0","0","0","0","0","12","11","0","3","3","2","1","0","1","0","0","1","6","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","3","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","13"
"20-655 University No. 2","54","0","0","3","0","0","2","52","2","12","12","11","0","0","0","3","3","3","4","0","0","153","7","0","8","0","0","3","0","0","1","2","3","2","16","0","0","0","0","0","65","1","22","3","27","0","0","0","0","0","0","0","0","0","0","0","0","57","34","0","5","5","7","0","1","2","1","4","4","7","7","1","1","1","1","0","0","0","0","0","21","3","0","2","3","3","0","6","0","2","0","7","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","39"
"20-660 University No. 3","59","3","0","0","0","1","0","70","2","12","13","15","1","0","0","1","4","3","2","0","0","217","10","2","7","0","3","4","0","0","12","1","10","7","17","0","1","0","1","1","49","3","26","5","28","0","0","0","0","0","0","0","0","0","0","0","2","44","57","0","6","5","5","0","0","4","4","2","1","9","1","4","3","1","0","0","0","1","1","0","6","1","1","0","2","3","0","2","0","3","0","3","0","1","3","0","0","1","0","0","1","0","0","0","0","0","0","37"
"20-665 University No. 4","31","3","3","0","0","0","1","23","1","0","9","9","2","0","0","0","2","0","3","0","0","96","8","1","2","0","0","1","0","0","4","1","3","2","9","0","0","1","0","0","23","3","8","2","20","0","0","2","0","0","0","0","1","0","0","0","0","21","19","1","2","2","7","0","1","3","0","0","1","5","1","0","0","1","0","0","0","0","0","0","4","0","0","0","3","0","1","0","0","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","14"
"20-670 University No. 5","119","7","1","4","1","0","2","141","3","17","30","29","0","3","1","10","4","6","2","0","1","268","10","4","14","0","0","8","0","1","7","2","5","3","25","2","1","0","0","0","71","4","41","7","27","0","2","3","0","0","0","0","1","0","0","1","0","79","76","1","14","8","14","1","3","5","1","4","4","7","5","6","3","1","3","0","0","0","0","0","11","5","0","0","5","4","1","5","0","6","3","3","0","1","1","1","0","2","0","0","3","2","0","0","0","0","0","57"
"District 20 - Absentee","106","4","2","9","0","0","3","95","1","8","17","17","0","2","0","2","2","2","3","2","0","465","20","5","12","0","1","14","1","0","25","4","8","16","12","0","0","1","0","0","93","1","19","7","29","1","1","3","1","1","6","1","0","1","2","0","1","28","22","3","2","6","11","0","0","0","1","3","0","7","1","0","1","0","1","1","0","0","4","0","12","2","0","0","1","2","0","6","3","2","1","0","0","1","0","0","0","3","0","0","1","9","0","1","0","5","1","85"
"District 20 - Early Voting","47","1","0","3","0","0","0","47","1","6","11","9","0","2","1","1","1","2","2","0","0","252","9","2","7","1","0","3","0","0","18","0","5","2","11","0","0","0","0","0","51","1","16","4","22","0","1","0","0","0","0","0","0","1","1","0","0","26","37","0","2","5","4","0","0","1","0","1","4","3","2","0","1","1","0","0","1","0","1","1","10","3","0","1","4","1","0","1","2","0","2","1","0","0","0","0","1","1","1","0","1","2","1","0","1","5","0","17"
"District 20  - Question","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","182"
"Total","437","18","6","20","1","1","8","444","11","56","96","97","3","7","2","17","20","16","17","2","1","1522","65","16","51","1","4","34","1","1","69","11","36","32","94","2","2","2","1","1","366","14","137","28","167","1","4","8","1","1","6","1","2","2","3","1","3","267","258","5","34","34","50","2","5","16","7","14","15","44","17","11","9","5","5","1","1","1","6","1","67","14","1","3","20","13","2","24","6","16","6","16","1","4","5","3","1","9","1","1","7","13","1","1","1","10","1","444"
