"1","Mears","Mears","Mears","Wolfe","Wolfe","Wolfe","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Wolfe","Write-in","","Mears","Write-in","","Mears","Wolfe","",""
"21-705 East Anchorage No. 1","274","97","12","283","57","1","1","2","0","22","0"
"21-710 East Anchorage No. 2","182","99","2","380","91","10","1","0","0","21","0"
"21-715 East Anchorage No. 3","266","144","4","438","127","13","2","0","0","22","2"
"21-720 East Anchorage No. 4","299","85","3","347","82","13","0","0","0","11","1"
"21-725 East Anchorage No. 5","379","138","4","498","106","4","0","0","1","21","0"
"District 21 - Absentee","863","205","13","509","106","5","5","1","2","56","0"
"District 21 - Early Voting","373","118","12","279","58","13","0","0","0","10","1"
"District 21  - Question","5","2","0","6","2","0","0","0","0","124","0"
"Total","2641","888","50","2740","629","59","9","3","3","287","4"
