"1","Jackson","Nelson","Blank","Exhausted","Overvote"
"24-850 Chugach Park No. 2","426","166","44","179","1"
"24-855 Chugiak","201","80","8","81","0"
"24-860 Eagle River No. 3","346","128","19","118","0"
"24-865 Eklutna","406","179","38","148","0"
"24-870 Fire Lake","444","166","27","197","2"
"24-875 Peters Creek No. 1","617","188","43","239","0"
"24-880 Peters Creek No. 2","333","114","29","116","1"
"District 24 - Absentee","635","437","96","266","2"
"District 24 - Early Voting","612","357","51","240","2"
"District 24  - Question","43","15","141","15","0"
"Total","4063","1830","496","1599","8"
