"1","Nelson","Saddler","Blank","Exhausted","Overvote"
"24-850 Chugach Park No. 2","160","545","44","66","1"
"24-855 Chugiak","76","247","8","39","0"
"24-860 Eagle River No. 3","130","389","19","73","0"
"24-865 Eklutna","175","493","38","65","0"
"24-870 Fire Lake","147","593","27","67","2"
"24-875 Peters Creek No. 1","168","781","43","95","0"
"24-880 Peters Creek No. 2","117","390","29","56","1"
"District 24 - Absentee","417","848","96","73","2"
"District 24 - Early Voting","326","794","51","89","2"
"District 24  - Question","16","50","141","7","0"
"Total","1732","5130","496","630","8"
