"1","Jackson","Saddler","Blank","Exhausted","Overvote"
"24-850 Chugach Park No. 2","241","453","44","77","1"
"24-855 Chugiak","105","211","8","46","0"
"24-860 Eagle River No. 3","211","323","19","58","0"
"24-865 Eklutna","238","408","38","87","0"
"24-870 Fire Lake","258","479","27","70","2"
"24-875 Peters Creek No. 1","314","638","43","92","0"
"24-880 Peters Creek No. 2","195","308","29","60","1"
"District 24 - Absentee","354","752","96","232","2"
"District 24 - Early Voting","331","712","51","166","2"
"District 24  - Question","27","37","141","9","0"
"Total","2274","4321","496","897","8"
