"1","Johnson","Johnson","Johnson","Overvote","Wood","Wood","Wood","Write-in","Write-in","Write-in","Blank"
"2","","Wood","Write-in","","","Johnson","Write-in","","Johnson","Wood",""
"25-305 Butte","517","313","5","1","132","126","1","6","1","0","116"
"25-310 Greater Palmer","276","153","0","0","43","53","0","5","1","0","52"
"25-315 Lazy Mountain","359","174","3","0","88","64","1","2","1","1","84"
"25-320 Palmer City No. 1","261","183","5","0","61","47","1","2","0","1","61"
"25-325 Palmer City No. 2","218","126","2","0","50","53","0","5","2","0","50"
"25-330 Springer Loop","351","179","3","0","65","72","1","5","0","2","73"
"25-335 Walby","302","209","6","0","79","59","2","9","2","1","55"
"District 25 - Absentee","509","237","3","0","99","75","2","22","3","1","198"
"District 25 - Early Voting","843","385","8","1","188","138","0","28","1","2","185"
"District 25  - Question","26","31","0","0","11","10","0","1","0","0","190"
"Total","3662","1990","35","2","816","697","8","85","11","8","1064"
