"1","Carpenter","Carpenter","Carpenter","Carpenter","Eastman","Eastman","Eastman","Eastman","Graham","Graham","Graham","Blank","Overvote"
"2","","Eastman","Graham","Overvote","","Carpenter","Graham","Overvote","","Carpenter","Eastman","",""
"27-405 Foothills","36","32","33","0","133","95","62","0","63","70","25","91","1"
"27-410 Meadow Lakes No. 1","57","38","62","0","260","142","91","0","81","91","22","128","2"
"27-415 Meadow Lakes No. 2","39","26","38","0","205","116","62","1","64","69","28","107","0"
"27-420 Wasilla No. 1","46","33","45","0","140","91","64","0","61","91","31","116","0"
"27-425 Wasilla No. 2","66","55","67","1","190","144","100","0","106","100","35","120","1"
"District 27 - Absentee","66","30","61","0","185","117","48","0","65","89","8","185","3"
"District 27 - Early Voting","110","58","103","0","299","184","124","0","172","207","56","197","4"
"District 27  - Question","10","7","7","0","20","13","5","0","6","9","2","154","1"
"Total","430","279","416","1","1432","902","556","1","618","726","207","1098","12"
