"1","Allen","Sumner","Blank","Exhausted","Overvote"
"28-450 Lakes No. 1","157","216","68","112","2"
"28-455 Lakes No. 2","131","180","50","77","0"
"28-460 Seldon No. 1","198","377","89","105","1"
"28-465 Seldon No. 2","252","492","149","134","1"
"28-470 Seward Meridian","117","165","63","79","0"
"28-475 Trunk","249","286","120","99","2"
"28-480 Wasilla Lake","90","165","46","82","1"
"District 28 - Absentee","205","406","171","141","4"
"District 28 - Early Voting","397","709","199","261","5"
"District 28  - Question","13","27","190","15","0"
"Total","1809","3023","1145","1105","16"
