"1","Menard","Sumner","Blank","Exhausted","Overvote"
"28-450 Lakes No. 1","188","213","68","85","1"
"28-455 Lakes No. 2","124","195","50","69","0"
"28-460 Seldon No. 1","202","387","89","91","1"
"28-465 Seldon No. 2","277","510","149","91","1"
"28-470 Seward Meridian","127","179","63","55","0"
"28-475 Trunk","199","323","120","112","2"
"28-480 Wasilla Lake","124","159","46","55","0"
"District 28 - Absentee","220","411","171","120","5"
"District 28 - Early Voting","453","721","199","193","5"
"District 28  - Question","22","22","190","11","0"
"Total","1936","3120","1145","882","15"
