"1","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Blank","Overvote"
"2","","Menard","Menard","Menard","Overvote","Sumner","Sumner","Sumner","Sumner","Wright","Wright","Wright","","Allen","Allen","Allen","Overvote","Sumner","Sumner","Sumner","Sumner","Wright","Wright","Wright","Wright","","Allen","Allen","Allen","Allen","Menard","Menard","Menard","Menard","Overvote","Wright","Wright","Wright","Wright","","Allen","Allen","Allen","Menard","Menard","Menard","Overvote","Sumner","Sumner","Sumner","",""
"3","","","Sumner","Wright","","","Menard","Overvote","Wright","","Menard","Sumner","","","Sumner","Wright","","","Allen","Overvote","Wright","","Allen","Overvote","Sumner","","","Menard","Overvote","Wright","","Allen","Overvote","Wright","","","Allen","Menard","Overvote","","","Menard","Sumner","","Allen","Sumner","","","Allen","Menard","",""
"28-450 Lakes No. 1","37","1","5","4","0","7","9","0","24","9","3","7","63","2","8","7","0","15","12","0","9","8","13","1","18","45","12","4","0","19","21","6","1","4","0","8","10","11","0","35","4","7","9","6","1","5","0","1","11","4","68","1"
"28-455 Lakes No. 2","32","2","4","1","0","4","4","0","21","12","3","14","49","5","7","2","0","7","5","0","3","3","9","0","14","46","13","7","0","12","14","4","0","4","0","13","11","8","0","25","0","2","6","0","3","5","0","5","9","0","50","0"
"28-460 Seldon No. 1","44","2","3","7","0","11","6","0","35","6","12","19","70","2","8","2","0","11","6","0","9","3","12","0","29","136","13","5","0","32","18","8","1","21","0","14","17","19","0","31","10","6","9","1","4","15","0","6","12","5","89","1"
"28-465 Seldon No. 2","42","4","7","4","0","22","7","0","50","13","11","20","95","3","15","7","0","18","17","0","14","6","20","0","34","160","23","11","1","41","31","18","0","19","1","15","21","15","0","28","8","5","13","5","1","11","0","10","21","11","149","1"
"28-470 Seward Meridian","23","3","5","3","0","4","6","0","24","7","1","6","49","1","7","4","0","2","9","0","7","6","9","0","11","47","4","5","0","16","12","4","0","7","0","7","9","3","0","21","4","0","8","3","2","5","0","3","8","6","63","0"
"28-475 Trunk","48","4","8","10","0","13","8","0","41","20","4","21","56","2","8","5","0","7","8","0","11","3","15","0","26","87","15","12","0","21","9","10","0","11","1","10","17","8","0","36","8","5","20","4","9","14","0","4","10","5","120","2"
"28-480 Wasilla Lake","27","1","3","1","0","5","1","0","10","4","3","10","55","0","3","5","1","6","5","1","7","5","7","0","14","55","5","2","0","9","13","4","0","6","0","4","14","6","0","22","2","2","4","0","2","3","0","3","6","2","46","0"
"District 28 - Absentee","57","5","3","3","1","18","9","1","30","15","6","13","88","2","11","1","0","14","14","0","22","8","9","0","17","161","29","4","0","31","27","13","0","21","1","6","17","7","0","41","7","4","7","4","3","6","0","1","13","2","171","4"
"District 28 - Early Voting","96","15","7","5","0","31","8","0","45","14","15","28","179","9","21","11","0","16","22","1","23","13","24","0","54","230","29","21","0","56","52","24","0","40","0","19","41","25","1","65","18","6","30","4","14","14","1","7","30","4","199","4"
"District 28  - Question","5","0","0","0","0","1","0","0","2","0","0","1","9","1","1","0","0","0","0","0","2","0","1","0","6","7","4","0","0","3","0","0","0","1","0","0","0","1","0","6","0","0","0","0","1","1","0","1","1","0","190","0"
"Total","411","37","45","38","1","116","58","1","282","100","58","139","713","27","89","44","1","96","98","2","107","55","119","1","223","974","147","71","1","240","197","91","2","134","3","96","157","103","1","310","61","37","106","27","40","79","1","41","121","39","1145","13"
