"1","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Overvote","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Menard","Menard","Menard","Menard","Menard","Menard","Overvote","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","Write-in","","Allen","Allen","Allen","Allen","Allen","Overvote","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Write-in","","","Allen","Allen","Allen","Allen","Allen","Allen","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Overvote","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Wright","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","","Allen","Allen","Allen","Allen","Allen","Allen","Allen","Menard","Menard","Menard","Menard","Menard","Overvote","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Write-in","Write-in","Write-in","","Allen","Allen","Menard","Menard","Menard","Menard","Menard","Menard","Menard","Sumner","Sumner","Sumner","Sumner","Sumner","Sumner","Wright","Wright","Wright",""
"3","","","Sumner","Sumner","Sumner","Wright","Wright","","","Menard","Menard","Menard","Overvote","Wright","Wright","Wright","Wright","","Menard","Menard","Menard","Sumner","Sumner","Sumner","Write-in","Write-in","","Sumner","Sumner","Sumner","","","Sumner","Sumner","Wright","Wright","","","Allen","Allen","Overvote","Wright","Wright","Write-in","","Allen","Allen","Allen","Overvote","Sumner","Sumner","","","","","Menard","Menard","Overvote","Wright","Wright","","Allen","Allen","Overvote","Wright","Wright","Write-in","Write-in","","","Allen","Allen","Allen","Allen","Menard","Menard","Menard","Overvote","Write-in","","Allen","Menard","Menard","Menard","Wright","","","Menard","Menard","Sumner","Sumner","Write-in","Write-in","","Allen","Allen","Sumner","Sumner","","","Allen","Allen","Allen","Menard","Menard","Allen","Menard","Menard","","Menard","Sumner","","Allen","Allen","Sumner","Wright","Wright","Wright","","Allen","Menard","Wright","Wright","Wright","Allen","Allen","Menard",""
"4","","","","Wright","Write-in","","Sumner","","","","Wright","Write-in","","","Menard","Overvote","Write-in","","","Sumner","Write-in","","Menard","Write-in","","Menard","","","Menard","Wright","","","","Wright","","Sumner","","","","Wright","","","Allen","Allen","","","Sumner","Write-in","","","Allen","","","","","","Wright","","","Menard","","","Wright","","","Allen","","Allen","","","","Menard","Overvote","Write-in","","Allen","Write-in","","","","Wright","","Allen","Wright","Menard","","","","Sumner","","Menard","","Sumner","","","Sumner","","Allen","","","","Menard","Write-in","","Allen","Sumner","Allen","Sumner","","","Wright","","Sumner","Wright","Allen","","Allen","Sumner","","Wright","Allen","","Allen","Menard","","Sumner","Sumner",""
"28-450 Lakes No. 1","36","1","0","5","0","0","4","0","7","7","2","0","0","8","16","0","0","9","1","2","0","3","4","0","0","0","1","0","0","0","63","2","1","7","2","5","0","15","3","9","0","2","7","0","7","3","10","0","1","1","17","0","1","45","12","1","3","0","7","12","21","3","3","1","0","4","0","0","0","8","7","3","0","0","2","9","0","0","0","0","0","0","0","0","0","35","4","3","4","2","7","0","0","6","1","0","0","5","0","1","3","8","0","0","4","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","66"
"28-455 Lakes No. 2","32","2","1","3","0","0","1","0","4","2","2","0","0","8","13","0","0","12","2","1","0","2","12","0","0","0","0","0","0","0","49","5","1","6","0","1","0","7","1","3","0","0","3","0","3","0","9","0","0","2","12","0","0","46","13","3","4","0","6","6","14","0","4","0","1","3","0","0","0","13","4","6","0","1","3","5","0","0","0","0","0","0","0","0","0","25","0","0","2","2","4","0","0","0","0","3","0","5","0","5","4","5","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","50"
"28-460 Seldon No. 1","44","2","2","1","0","1","6","0","10","2","4","0","0","11","24","0","0","5","2","10","0","10","9","0","1","0","0","1","0","0","69","2","1","7","1","1","0","11","1","5","0","2","7","0","3","2","10","0","0","0","29","1","1","136","13","1","4","0","13","19","16","0","8","1","4","17","1","0","0","12","7","10","0","0","2","17","0","0","1","0","0","1","0","0","0","31","10","2","4","3","6","0","0","1","0","4","0","14","0","6","4","8","0","0","5","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","82"
"28-465 Seldon No. 2","42","4","1","6","0","1","3","0","22","1","6","0","0","7","42","0","0","13","3","7","1","5","15","0","0","0","0","0","0","0","93","3","1","14","2","5","0","18","4","13","0","1","13","0","6","4","16","0","0","2","32","0","1","157","23","2","9","1","16","25","31","5","12","0","1","17","0","0","1","15","8","13","0","0","4","11","0","0","0","1","0","0","0","1","0","28","7","2","3","5","7","1","1","5","1","0","2","9","0","10","9","12","0","0","11","0","0","0","8","0","1","2","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","141"
"28-470 Seward Meridian","23","3","1","4","0","0","3","0","4","1","5","0","0","6","18","0","0","7","0","1","0","4","2","0","0","0","0","0","0","0","49","1","0","7","1","3","0","2","5","4","0","0","7","0","6","2","6","0","0","2","9","0","0","47","4","4","1","0","8","8","12","0","4","0","1","6","0","0","0","7","4","5","0","0","0","2","0","0","0","0","0","0","0","0","1","21","4","0","0","1","7","0","0","3","2","0","0","4","0","3","0","8","0","3","3","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","62"
"28-475 Trunk","48","4","2","5","1","1","9","0","13","3","5","0","0","19","21","0","1","20","0","3","0","4","17","0","0","1","0","0","0","0","54","2","1","7","1","4","0","7","2","6","0","1","10","0","3","4","11","0","0","2","23","0","2","86","15","5","7","0","9","12","9","3","7","0","1","10","0","0","1","10","7","10","0","0","2","6","0","0","0","0","0","0","0","0","0","36","8","0","5","3","17","0","0","4","1","8","2","12","0","4","2","8","0","0","5","0","0","0","5","0","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","115"
"28-480 Wasilla Lake","27","1","0","3","0","0","1","0","5","1","0","0","0","4","6","0","0","4","1","2","0","5","5","0","0","0","0","0","0","0","54","0","1","2","1","4","1","6","1","4","1","0","7","0","5","0","6","1","0","0","14","0","0","55","5","0","2","0","5","4","13","1","3","0","2","4","0","0","0","4","6","8","0","0","2","4","0","0","0","0","0","0","0","0","0","22","1","1","1","0","4","0","0","0","0","2","0","3","0","3","2","4","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","46"
