"1","Story","Write-in","Blank","Overvote"
"03-300 Auke Bay","408","17","119","0"
"03-305 Lynn Canal","347","18","109","0"
"03-310 Melvin Park","379","19","153","0"
"03-315 Mendenhall Glacier","646","52","235","1"
"03-320 Thunder Mountain","597","38","217","0"
"03-325 Gustavus","155","1","33","0"
"03-330 Haines No. 1","475","27","167","0"
"03-335 Haines No. 2","66","5","44","0"
"03-340 Klukwan","40","1","4","0"
"03-345 Skagway","292","6","52","0"
"District 3 - Absentee","1360","43","387","0"
"District 3 - Early Voting","1643","70","359","0"
"District 3  - Question","67","9","143","0"
"Total","6475","306","2022","1"
