"1","Holmes","McCabe","Blank","Exhausted","Overvote"
"30-550 Anderson/Clear","44","61","8","9","0"
"30-555 Big Lake","333","682","39","66","2"
"30-560 Cantwell","28","35","7","17","0"
"30-565 Denali Park","20","11","12","36","0"
"30-570 East Schrock","43","35","6","12","0"
"30-575 Healy","62","164","37","71","0"
"30-580 Houston","218","258","39","49","1"
"30-585 Knik Goose Bay No. 4","338","530","44","62","0"
"30-590 Trapper Creek","81","63","8","9","0"
"30-595 Susitna","242","167","20","45","1"
"30-600 Talkeetna","149","89","23","59","0"
"30-605 Willow","489","360","26","65","1"
"District 30 - Early Voting - 1","204","372","31","72","3"
"District 30 - Early Voting - 2","3","7","1","14","0"
"District 30 - Question - 1","34","29","122","3","0"
"District 30 - Question - 2","2","13","31","3","0"
"House District 30 - Judicial District 3","528","687","123","272","4"
"House District 30 - Judicial District 4","65","100","26","109","1"
"Total","2883","3663","603","973","13"
