"1","Holmes","Holmes","Holmes","Holmes","McCabe","McCabe","McCabe","McCabe","Mindiola","Mindiola","Mindiola","Blank","Overvote"
"2","","McCabe","Mindiola","Overvote","","Holmes","Mindiola","Overvote","","Holmes","McCabe","",""
"30-550 Anderson/Clear","15","22","1","0","22","35","1","0","9","6","3","8","0"
"30-555 Big Lake","129","168","16","1","288","350","18","0","66","19","26","39","2"
"30-560 Cantwell","15","9","2","0","16","12","3","0","17","2","4","7","0"
"30-565 Denali Park","2","6","3","0","3","4","0","0","36","9","4","12","0"
"30-570 East Schrock","21","21","0","0","12","21","0","0","12","1","2","6","0"
"30-575 Healy","19","30","3","0","49","95","4","0","71","10","16","37","0"
"30-580 Houston","89","118","3","0","95","144","6","0","49","8","13","39","1"
"30-585 Knik Goose Bay No. 4","112","199","9","0","214","285","6","0","62","18","25","44","0"
"30-590 Trapper Creek","38","34","7","1","25","33","2","0","9","1","3","8","0"
"30-595 Susitna","102","115","11","0","67","82","3","0","45","14","15","20","1"
"30-600 Talkeetna","54","45","20","0","26","36","10","0","59","30","17","23","0"
"30-605 Willow","241","194","34","0","143","159","23","1","65","20","34","26","1"
"District 30 - Early Voting - 1","76","90","18","0","141","199","10","0","72","20","22","31","3"
"District 30 - Early Voting - 2","1","1","1","0","2","2","0","0","14","0","3","1","0"
"District 30 - Question - 1","13","19","0","0","11","16","0","0","3","2","2","122","0"
"District 30 - Question - 2","0","2","0","0","4","7","0","0","3","0","2","31","0"
"House District 30 - Judicial District 3","177","212","45","0","267","342","17","0","272","94","61","123","4"
"House District 30 - Judicial District 4","15","27","2","0","44","37","1","1","109","21","17","26","1"
"Total","1119","1312","175","2","1429","1859","104","2","973","275","269","603","13"
