"1","Holmes","Holmes","Holmes","Holmes","Holmes","Holmes","Holmes","Holmes","Holmes","Holmes","McCabe","McCabe","McCabe","McCabe","McCabe","McCabe","McCabe","McCabe","McCabe","McCabe","McCabe","McCabe","Mindiola","Mindiola","Mindiola","Mindiola","Mindiola","Mindiola","Mindiola","Mindiola","Mindiola","Mindiola","Mindiola","Overvote","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","McCabe","McCabe","McCabe","Mindiola","Mindiola","Mindiola","Overvote","Write-in","Write-in","","Holmes","Holmes","Holmes","Holmes","Mindiola","Mindiola","Mindiola","Overvote","Write-in","Write-in","Write-in","","Holmes","Holmes","Holmes","Holmes","McCabe","McCabe","McCabe","Write-in","Write-in","Write-in","","","Holmes","Holmes","McCabe","Mindiola","Mindiola","Mindiola","Overvote",""
"3","","","Mindiola","Write-in","","McCabe","Write-in","","","Mindiola","","","Mindiola","Overvote","Write-in","","Holmes","Write-in","","","Holmes","Mindiola","","","McCabe","Overvote","Write-in","","Holmes","Write-in","","Holmes","McCabe","","","","McCabe","Holmes","","Holmes","McCabe","",""
"30-550 Anderson/Clear","15","15","5","2","1","0","0","0","0","0","22","28","4","0","3","0","1","0","0","0","0","0","8","1","4","1","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","8"
"30-555 Big Lake","129","114","53","1","8","8","0","1","0","0","287","263","83","0","3","5","13","0","0","1","0","0","66","7","11","0","0","0","26","0","0","1","0","2","1","0","0","1","0","0","0","0","38"
"30-560 Cantwell","15","7","2","0","1","1","0","0","0","0","15","10","2","0","0","0","3","0","0","1","0","0","17","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"30-565 Denali Park","2","4","2","0","2","1","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","0","34","3","5","0","0","4","0","0","2","1","0","0","0","0","0","0","0","0","0","0","12"
"30-570 East Schrock","21","15","6","0","0","0","0","0","0","0","12","15","5","0","1","0","0","0","0","0","0","0","12","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"30-575 Healy","19","21","9","0","2","1","0","0","0","0","49","72","22","0","0","1","3","0","0","0","1","0","70","5","5","0","0","2","13","1","0","0","0","0","2","0","0","0","1","0","0","0","35"
"30-580 Houston","89","77","39","2","1","2","0","0","0","0","95","110","31","0","3","2","4","0","0","0","0","0","49","3","5","0","0","2","11","0","0","0","0","1","0","0","0","0","0","0","0","0","39"
"30-585 Knik Goose Bay No. 4","110","136","58","5","4","4","1","0","1","0","213","222","58","0","4","1","5","0","0","1","0","0","62","11","7","0","0","5","20","0","0","0","0","0","1","1","0","1","0","0","0","0","43"
"30-590 Trapper Creek","37","25","8","1","2","5","0","1","1","0","25","24","5","0","4","1","1","0","0","0","0","0","9","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"30-595 Susitna","101","82","31","2","6","5","0","0","1","0","66","67","13","0","1","2","1","0","0","1","1","0","44","9","5","0","0","6","9","0","0","0","0","1","1","0","0","0","1","0","0","0","19"
"30-600 Talkeetna","54","33","11","0","15","4","0","0","0","1","26","27","8","0","1","2","8","0","0","0","0","0","59","22","8","0","0","2","14","0","0","0","1","0","0","0","1","0","0","0","0","0","23"
"30-605 Willow","241","118","74","2","16","18","0","0","0","0","142","122","36","0","1","9","13","1","1","1","0","0","65","11","8","0","1","10","24","0","0","0","0","1","0","0","0","0","0","0","0","0","26"
"District 30 - Early Voting - 1","73","59","30","1","11","7","0","0","2","0","141","162","29","1","6","3","7","0","0","0","1","0","72","13","6","0","0","4","18","0","0","1","0","3","4","1","0","0","0","0","0","0","27"
"District 30 - Early Voting - 2","1","0","1","0","0","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"District 30 - Question - 1","12","13","6","0","0","0","0","0","1","0","11","9","5","0","2","0","0","0","0","0","0","0","3","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","122"
"District 30 - Question - 2","0","2","0","0","0","0","0","0","0","0","4","4","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","31"
"House District 30 - Judicial District 3","173","167","43","2","33","11","1","0","2","0","266","285","50","0","5","1","14","0","0","1","1","2","268","51","38","0","2","30","30","0","2","2","0","3","15","2","0","1","2","1","1","1","108"
"House District 30 - Judicial District 4","15","21","6","0","1","1","0","0","0","0","43","26","8","0","3","0","1","0","1","1","0","0","108","11","7","0","3","5","12","0","1","0","0","1","6","0","0","0","0","0","0","0","20"
"Total","1107","909","384","18","103","69","2","2","8","1","1422","1451","363","1","37","27","74","1","2","7","4","2","963","151","111","1","6","73","193","1","6","5","1","12","31","4","1","3","4","1","1","1","572"
