"1","Givens","Givens","Givens","Givens","Givens","Givens","Givens","Givens","Lawrence","Lawrence","Lawrence","Lawrence","Lawrence","Lawrence","Lawrence","Lawrence","Overvote","Stapp","Stapp","Stapp","Stapp","Stapp","Stapp","Stapp","Stapp","Stapp","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Lawrence","Lawrence","Overvote","Stapp","Stapp","Stapp","Write-in","","Givens","Givens","Stapp","Stapp","Write-in","Write-in","Write-in","","","Givens","Givens","Givens","Lawrence","Lawrence","Overvote","Write-in","Write-in","","Givens","Givens","Lawrence","Lawrence","Stapp",""
"3","","","Stapp","","","Lawrence","Write-in","","","","Stapp","","Givens","","Givens","Stapp","","","","Lawrence","Write-in","","Givens","","","Givens","","","Lawrence","","Stapp","Givens",""
"32-355 Fairbanks No. 4","21","1","0","0","29","24","0","0","156","7","22","14","44","2","0","0","2","130","107","54","3","10","17","1","2","0","0","0","0","1","1","0","20"
"32-365 Fairbanks No. 5","33","0","1","0","40","12","0","0","119","2","18","11","43","2","0","0","0","101","87","33","2","6","7","0","0","1","0","0","1","0","0","0","33"
"32-375 Fort Wainwright","5","0","2","0","19","13","0","0","21","1","7","3","14","0","0","0","0","15","16","13","2","0","0","0","0","0","0","0","0","0","0","0","1"
"32-385 Badger No. 2","43","0","0","0","78","31","1","1","107","5","20","10","41","0","1","0","0","233","241","104","9","11","24","0","3","0","2","0","0","0","1","0","35"
"District 32 - Absentee","20","0","1","0","41","13","2","0","112","1","19","17","26","1","1","3","1","68","85","30","1","3","11","0","0","0","8","0","0","1","0","0","23"
"District 32 - Early Voting","16","0","2","1","26","7","4","0","120","4","14","14","25","2","1","0","2","69","88","23","2","2","9","0","0","0","2","1","0","0","0","1","18"
"District 32  - Question","2","0","0","0","2","1","0","0","2","0","0","1","2","0","0","0","0","3","1","6","0","0","1","0","0","0","0","0","0","0","0","0","91"
"Total","140","1","6","1","235","101","7","1","637","20","100","70","195","7","3","3","5","619","625","263","19","32","69","1","5","1","12","1","1","2","2","1","221"
