"1","DeMars","Hopkins","Blank","Exhausted","Overvote"
"34-235 Eielson","114","38","13","17","0"
"34-238 Eielson Farm Road","32","16","1","9","0"
"34-240 Farmers Loop","209","532","12","126","0"
"34-260 Salcha","230","86","10","103","1"
"34-263 Steele Creek","403","354","18","229","2"
"34-265 Steese","363","397","28","249","1"
"34-270 Summit","316","314","16","171","0"
"34-280 Two Rivers","181","153","8","132","0"
"District 34 - Absentee","361","630","49","158","2"
"District 34 - Early Voting","374","801","15","197","1"
"District 34  - Question","37","23","140","20","1"
"Total","2620","3344","310","1411","8"
