"1","DeMars","Tomaszewski","Blank","Exhausted","Overvote"
"34-235 Eielson","44","105","13","20","0"
"34-238 Eielson Farm Road","14","35","1","8","0"
"34-240 Farmers Loop","108","409","12","350","0"
"34-260 Salcha","107","271","10","42","0"
"34-263 Steele Creek","122","658","18","206","2"
"34-265 Steese","103","668","28","238","1"
"34-270 Summit","94","517","16","190","0"
"34-280 Two Rivers","47","330","8","89","0"
"District 34 - Absentee","157","530","49","463","1"
"District 34 - Early Voting","166","630","15","576","1"
"District 34  - Question","13","57","140","10","1"
"Total","975","4210","310","2192","6"
