"1","Hopkins","Tomaszewski","Blank","Exhausted","Overvote"
"34-235 Eielson","38","128","13","3","0"
"34-238 Eielson Farm Road","15","38","1","4","0"
"34-240 Farmers Loop","516","336","12","15","0"
"34-260 Salcha","76","308","10","36","0"
"34-263 Steele Creek","336","633","18","17","2"
"34-265 Steese","366","615","28","28","1"
"34-270 Summit","300","484","16","17","0"
"34-280 Two Rivers","137","323","8","6","0"
"District 34 - Absentee","613","513","49","23","2"
"District 34 - Early Voting","779","583","15","10","1"
"District 34  - Question","24","53","140","3","1"
"Total","3200","4014","310","162","7"
