"1","DeMars","DeMars","DeMars","DeMars","DeMars","DeMars","DeMars","DeMars","DeMars","Hopkins","Hopkins","Hopkins","Hopkins","Hopkins","Hopkins","Hopkins","Hopkins","Hopkins","Hopkins","Overvote","Tomaszewski","Tomaszewski","Tomaszewski","Tomaszewski","Tomaszewski","Tomaszewski","Tomaszewski","Tomaszewski","Tomaszewski","Tomaszewski","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Hopkins","Hopkins","Hopkins","Overvote","Tomaszewski","Tomaszewski","Tomaszewski","Write-in","","DeMars","DeMars","DeMars","Tomaszewski","Tomaszewski","Tomaszewski","Write-in","Write-in","Write-in","","","DeMars","DeMars","DeMars","Hopkins","Hopkins","Hopkins","Overvote","Write-in","Write-in","","DeMars","DeMars","Hopkins","Tomaszewski","Tomaszewski",""
"3","","","Tomaszewski","Write-in","","","Hopkins","Write-in","","","","Tomaszewski","Write-in","","DeMars","Write-in","","DeMars","Tomaszewski","","","","Hopkins","Write-in","","DeMars","Write-in","","","DeMars","","","Tomaszewski","","","DeMars",""
"34-235 Eielson","3","0","0","0","0","22","11","0","0","19","0","8","0","1","9","0","1","0","0","0","17","52","25","1","0","0","0","0","0","0","0","0","0","0","0","0","13"
"34-238 Eielson Farm Road","4","1","0","0","0","3","2","0","0","8","4","0","0","1","1","0","0","0","0","0","9","19","3","0","0","2","0","0","0","0","0","0","0","0","0","0","1"
"34-240 Farmers Loop","15","1","1","1","0","23","6","0","0","346","20","38","1","38","60","1","3","2","3","0","125","126","33","2","5","14","0","0","0","1","0","0","0","1","1","0","12"
"34-260 Salcha","36","0","2","0","0","41","19","1","0","42","1","7","0","7","17","0","0","0","0","0","103","107","23","0","1","11","0","1","0","1","0","0","0","0","0","0","10"
"34-263 Steele Creek","17","2","3","0","0","35","18","1","0","205","10","31","0","28","52","0","1","4","0","2","226","242","76","6","7","16","0","0","3","0","1","0","1","0","0","2","17"
"34-265 Steese","27","0","2","0","0","26","12","0","0","237","7","28","0","26","64","0","1","0","1","1","249","227","59","9","9","24","0","0","0","0","0","1","0","0","0","0","28"
"34-270 Summit","16","0","4","0","0","18","12","2","1","189","11","30","0","16","49","0","1","0","0","0","171","180","75","7","6","12","0","0","0","1","2","0","0","0","0","0","14"
"34-280 Two Rivers","6","0","0","0","0","11","8","0","0","88","8","12","0","7","19","0","1","2","0","0","131","119","36","1","4","12","0","0","1","0","0","0","0","0","0","0","8"
"District 34 - Absentee","22","0","2","0","1","48","18","3","0","455","21","35","1","36","50","0","8","4","1","1","157","203","48","13","6","12","1","1","1","0","1","1","1","0","0","1","48"
"District 34 - Early Voting","10","2","3","0","0","32","18","0","0","570","38","62","0","26","71","0","6","0","1","1","193","250","52","6","12","15","0","0","4","0","2","0","1","0","0","0","13"
"District 34  - Question","2","0","1","0","0","3","3","0","1","9","1","2","0","4","6","0","1","0","0","1","20","23","4","0","0","0","0","0","0","0","0","0","0","0","0","0","140"
"Total","158","6","18","1","1","262","127","7","2","2168","121","253","2","190","398","1","23","12","6","6","1401","1548","434","45","50","118","1","2","9","3","6","2","3","1","1","3","304"
