"1","Brown","Carrick","Blank","Exhausted","Overvote"
"35-580 Airport","46","95","11","140","0"
"35-582 Chena","177","599","47","495","4"
"35-584 Ester","67","335","22","154","0"
"35-586 Geist","72","259","15","191","0"
"35-587 Lakeview","27","31","5","53","0"
"35-592 Shanly","58","204","16","107","0"
"35-595 University Hills","57","389","15","127","0"
"35-596 University West","160","584","39","427","1"
"District 35 - Absentee","84","710","77","275","2"
"District 35 - Early Voting","118","1009","41","341","1"
"District 35  - Question","12","37","121","21","0"
"Total","878","4252","409","2331","8"
