"1","Brown","McNeill","Blank","Exhausted","Overvote"
"35-580 Airport","45","145","11","91","0"
"35-582 Chena","142","586","47","545","2"
"35-584 Ester","79","176","22","301","0"
"35-586 Geist","75","212","15","235","0"
"35-587 Lakeview","16","54","5","41","0"
"35-592 Shanly","67","135","16","167","0"
"35-595 University Hills","85","170","15","318","0"
"35-596 University West","162","538","39","472","0"
"District 35 - Absentee","122","314","77","635","0"
"District 35 - Early Voting","205","437","41","826","1"
"District 35  - Question","20","23","121","27","0"
"Total","1018","2790","409","3658","3"
