"1","Carrick","McNeill","Blank","Exhausted","Overvote"
"35-580 Airport","89","148","11","44","0"
"35-582 Chena","576","560","47","137","2"
"35-584 Ester","333","167","22","56","0"
"35-586 Geist","247","193","15","82","0"
"35-587 Lakeview","30","56","5","25","0"
"35-592 Shanly","202","129","16","38","0"
"35-595 University Hills","387","146","15","40","0"
"35-596 University West","560","491","39","121","0"
"District 35 - Absentee","704","272","77","95","0"
"District 35 - Early Voting","992","379","41","97","1"
"District 35  - Question","35","25","121","10","0"
"Total","4155","2566","409","745","3"
