"1","Carrick","McKinley","Blank","Exhausted","Overvote"
"35-580 Airport","83","167","11","31","0"
"35-582 Chena","560","635","47","77","3"
"35-584 Ester","331","196","22","29","0"
"35-586 Geist","238","247","15","37","0"
"35-587 Lakeview","29","64","5","18","0"
"35-592 Shanly","199","142","16","28","0"
"35-595 University Hills","380","180","15","13","0"
"35-596 University West","542","523","39","106","1"
"District 35 - Absentee","698","326","77","45","2"
"District 35 - Early Voting","979","417","41","73","0"
"District 35  - Question","36","29","121","5","0"
"Total","4075","2926","409","462","6"
