"1","Carrick","Carrick","Carrick","Carrick","McKinley","McKinley","McKinley","McKinley","McNeill","McNeill","McNeill","McNeill","Blank","Exhausted","Overvote"
"2","","McKinley","McNeill","Overvote","","Carrick","McNeill","Overvote","","Carrick","McKinley","Overvote","","",""
"35-580 Airport","52","26","3","0","41","8","66","0","28","2","52","0","11","3","0"
"35-582 Chena","394","145","16","0","130","21","309","0","70","5","175","1","47","7","2"
"35-584 Ester","253","53","23","1","49","3","83","0","22","1","61","0","22","7","0"
"35-586 Geist","161","54","20","0","74","12","110","0","29","3","51","0","15","8","0"
"35-587 Lakeview","19","8","2","0","23","1","28","0","16","0","12","0","5","2","0"
"35-592 Shanly","134","53","9","0","33","6","62","0","23","3","41","0","16","5","0"
"35-595 University Hills","263","90","25","0","37","9","91","0","10","2","43","0","15","3","0"
"35-596 University West","347","138","47","0","108","28","252","0","93","10","135","1","39","13","0"
"District 35 - Absentee","512","148","36","0","91","8","146","0","41","2","81","2","77","4","0"
"District 35 - Early Voting","700","220","51","0","88","21","215","1","64","8","92","0","41","9","0"
"District 35  - Question","23","11","1","0","9","0","14","0","4","1","6","0","121","1","0"
"Total","2858","946","233","1","683","117","1376","1","400","37","749","4","409","62","2"
