"1","Cronk","Fowler","Blank","Overvote"
"36-001 Goldstream No. 1","297","306","31","1"
"36-002 Goldstream No. 2","253","421","25","0"
"36-010 Allakaket","12","39","5","0"
"36-014 Anvik","14","12","1","0"
"36-018 Arctic Village","2","29","1","0"
"36-022 Beaver","9","13","2","0"
"36-026 Bettles","9","5","2","0"
"36-034 Central","29","9","3","0"
"36-038 Chistochina","61","6","3","0"
"36-042 Circle","6","13","3","0"
"36-046 Copper Center","219","52","7","0"
"36-050 Delta Junction","253","36","12","0"
"36-054 Deltana","881","132","36","0"
"36-058 Dot Lake","39","0","2","0"
"36-062 Eagle","37","6","1","1"
"36-066 Fort Yukon","52","66","11","0"
"36-070 Gakona","64","13","2","0"
"36-074 Galena","73","52","7","0"
"36-078 Glennallen","126","17","5","0"
"36-082 Grayling","25","24","1","0"
"36-086 Holy Cross","8","19","4","0"
"36-090 Hughes","12","18","2","0"
"36-094 Huslia","32","45","1","0"
"36-098 Kaltag","29","17","1","0"
"36-102 Kenny Lake","115","33","5","0"
"36-106 Koyukuk","11","20","2","0"
"36-110 Manley","34","8","3","0"
"36-114 McGrath","50","22","10","0"
"36-118 Mentasta","26","5","0","0"
"36-122 Minto","29","15","1","0"
"36-126 Nenana","191","71","9","0"
"36-130 Nikolai","13","19","7","0"
"36-134 Northway","66","5","4","1"
"36-138 Nulato","32","33","2","0"
"36-142 Ruby","18","15","2","0"
"36-146 Shageluk","6","14","2","0"
"36-162 Tanana","40","20","3","0"
"36-166 Tetlin","24","0","0","0"
"36-170 Tok","417","44","11","0"
"36-174 Venetie","6","36","2","0"
"District 36 - Early Voting - 1","27","21","2","0"
"District 36 - Early Voting - 2","168","259","17","0"
"District 36 - Question - 1","35","9","18","0"
"District 36 - Question - 2","47","20","130","0"
"House District 36 - Judicial District 3","290","144","26","0"
"House District 36 - Judicial District 4","708","403","63","1"
"Total","4895","2566","487","4"
