"1","Cronk","Cronk","Cronk","Cronk","Fowler","Fowler","Fowler","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Fowler","Overvote","Write-in","","Cronk","Write-in","","Cronk","Fowler","",""
"36-001 Goldstream No. 1","244","49","0","4","232","69","5","0","0","0","31","1"
"36-002 Goldstream No. 2","212","40","0","1","326","89","6","2","0","0","23","0"
"36-010 Allakaket","7","5","0","0","30","9","0","0","0","0","5","0"
"36-014 Anvik","9","5","0","0","4","8","0","0","0","0","1","0"
"36-018 Arctic Village","1","1","0","0","19","10","0","0","0","0","1","0"
"36-022 Beaver","5","4","0","0","3","10","0","0","0","0","2","0"
"36-026 Bettles","9","0","0","0","4","1","0","0","0","0","2","0"
"36-034 Central","23","6","0","0","9","0","0","0","0","0","3","0"
"36-038 Chistochina","48","12","0","1","5","1","0","0","0","0","3","0"
"36-042 Circle","4","2","0","0","10","3","0","0","0","0","3","0"
"36-046 Copper Center","168","50","0","1","34","18","0","0","0","0","7","0"
"36-050 Delta Junction","212","35","0","5","22","13","1","0","1","0","12","0"
"36-054 Deltana","775","90","0","15","78","52","1","2","1","1","34","0"
"36-058 Dot Lake","36","3","0","0","0","0","0","0","0","0","2","0"
"36-062 Eagle","35","2","0","0","6","0","0","0","0","0","1","1"
"36-066 Fort Yukon","36","15","0","1","46","20","0","0","0","0","11","0"
"36-070 Gakona","52","12","0","0","10","3","0","0","0","0","2","0"
"36-074 Galena","49","24","0","0","31","21","0","0","0","0","7","0"
"36-078 Glennallen","98","25","0","3","13","4","0","0","0","0","5","0"
"36-082 Grayling","20","5","0","0","19","5","0","0","0","0","1","0"
"36-086 Holy Cross","4","4","0","0","9","10","0","0","0","0","4","0"
"36-090 Hughes","6","6","0","0","7","11","0","0","0","0","2","0"
"36-094 Huslia","20","12","0","0","21","24","0","0","0","0","1","0"
"36-098 Kaltag","21","8","0","0","16","1","0","0","0","0","1","0"
"36-102 Kenny Lake","92","21","0","2","22","10","1","0","0","0","5","0"
"36-106 Koyukuk","7","4","0","0","14","6","0","0","0","0","2","0"
"36-110 Manley","30","4","0","0","6","2","0","0","0","0","3","0"
"36-114 McGrath","39","11","0","0","17","5","0","0","0","0","10","0"
"36-118 Mentasta","20","6","0","0","2","3","0","0","0","0","0","0"
"36-122 Minto","19","10","0","0","6","9","0","0","0","0","1","0"
"36-126 Nenana","138","45","0","8","48","22","0","0","0","1","9","0"
"36-130 Nikolai","7","6","0","0","11","8","0","0","0","0","7","0"
"36-134 Northway","47","19","0","0","3","2","0","0","0","0","4","1"
"36-138 Nulato","20","12","0","0","19","14","0","0","0","0","2","0"
"36-142 Ruby","13","5","0","0","11","4","0","0","0","0","2","0"
"36-146 Shageluk","3","3","0","0","11","3","0","0","0","0","2","0"
"36-162 Tanana","31","9","0","0","16","4","0","0","0","0","3","0"
"36-166 Tetlin","5","19","0","0","0","0","0","0","0","0","0","0"
"36-170 Tok","353","61","0","3","31","13","0","2","0","0","9","0"
"36-174 Venetie","5","1","0","0","31","5","0","0","0","0","2","0"
"District 36 - Early Voting - 1","18","8","0","1","17","4","0","0","0","0","2","0"
"District 36 - Early Voting - 2","139","24","0","5","197","57","4","2","0","1","15","0"
"District 36 - Question - 1","24","11","0","0","5","3","1","0","0","0","18","0"
"District 36 - Question - 2","33","13","1","0","9","11","0","0","0","0","130","0"
"House District 36 - Judicial District 3","255","31","0","3","103","38","1","2","1","2","24","0"
"House District 36 - Judicial District 4","597","92","0","17","313","83","5","12","2","2","51","1"
"Total","3989","830","1","70","1846","688","25","22","5","7","465","4"
