"1","McCormick","Overvote","Write-in","Blank"
"38-800 Akiachak","73","0","34","24"
"38-802 Akiak","104","0","2","13"
"38-806 Atmautluak","28","0","15","3"
"38-808 Bethel No. 1","354","0","104","50"
"38-810 Bethel No. 2","406","0","120","52"
"38-812 Chefornak","83","0","7","4"
"38-813 Chevak","109","0","26","9"
"38-818 Eek","74","0","4","2"
"38-822 Kasigluk","72","0","0","1"
"38-824 Kipnuk","117","0","3","6"
"38-826 Kongiganak","80","0","6","0"
"38-828 Kwethluk","137","0","13","8"
"38-830 Kwigillingok","43","0","6","7"
"38-836 Mekoryuk","57","0","1","6"
"38-838 Napakiak","67","0","5","5"
"38-840 Napaskiak","82","1","13","3"
"38-842 Newtok","28","0","0","1"
"38-844 Nightmute","39","0","0","4"
"38-846 Nunapitchuk","85","0","22","6"
"38-848 Quinhagak","119","1","6","4"
"38-852 Toksook Bay","137","1","6","9"
"38-854 Tuluksak","58","0","0","2"
"38-856 Tuntutuliak","114","0","7","10"
"38-858 Tununak","62","0","1","19"
"District 38 - Absentee","241","1","55","59"
"District 38 - Early Voting","51","0","3","0"
"District 38  - Question","86","0","12","75"
"Total","2906","4","471","382"
