"1","Foster","Ivanoff","Blank","Overvote"
"39-900 Alakanuk","65","31","3","0"
"39-902 Brevig Mission","32","87","5","1"
"39-906 Diomede","10","1","1","0"
"39-908 Elim","14","62","1","0"
"39-910 Emmonak","82","48","7","1"
"39-912 Gambell","54","80","7","1"
"39-914 Golovin","16","25","1","0"
"39-916 Hooper Bay","69","84","7","1"
"39-918 Kotlik","55","31","1","1"
"39-920 Koyuk","35","41","4","0"
"39-921 Marshall","54","39","4","0"
"39-922 Mountain Village","72","41","2","0"
"39-924 Nome No. 1","185","128","5","0"
"39-926 Nome No. 2","313","182","10","1"
"39-928 Nunam Iqua","16","14","0","0"
"39-930 Pilot Station","57","24","3","0"
"39-931 Russian Mission","37","33","5","0"
"39-932 Savoonga","61","82","2","0"
"39-934 Scammon Bay","50","61","1","0"
"39-936 Shaktoolik","23","30","3","0"
"39-938 Shishmaref","30","145","6","2"
"39-940 St. Mary's","56","62","3","0"
"39-942 St. Michael","35","37","1","0"
"39-944 Stebbins","37","42","0","4"
"39-946 Teller","13","24","0","0"
"39-948 Unalakleet","72","132","2","0"
"39-950 Wales","13","6","1","0"
"39-952 White Mountain","35","26","0","0"
"District 39 - Early Voting - 1","124","81","1","2"
"District 39 - Early Voting - 2","11","6","0","0"
"District 39  - Question - 1","8","21","33","0"
"District 39  - Question - 2","1","6","20","0"
"House District 39 - Judicial District 2","110","57","7","0"
"House District 39 - Judicial District 4","25","11","7","0"
"Total","1870","1780","153","14"
