"1","Hannan","Harmon","Blank","Overvote"
"04-100 Douglas","430","85","55","1"
"04-105 Juneau Airport Area","132","108","53","0"
"04-110 Juneau No. 1","365","102","60","0"
"04-115 Juneau No. 2","472","61","33","0"
"04-120 Juneau No. 3","217","55","27","0"
"04-125 Lemon Creek","277","146","65","0"
"04-130 Glacier Valley Area","226","130","60","0"
"04-135 North Douglas","360","84","46","0"
"District 4 - Absentee","1051","183","159","1"
"District 4 - Early Voting","1797","384","185","0"
"District 4  - Question","117","41","144","1"
"Total","5444","1379","887","3"
