"1","Patkotak","Write-in","Blank"
"40-004 Anaktuvuk Pass","51","2","1"
"40-006 Atqasuk","31","0","0"
"40-008 Utqiagvik","193","2","10"
"40-010 Browerville","486","11","23"
"40-012 Buckland","67","2","9"
"40-014 Deering","25","1","6"
"40-016 Kaktovik","72","0","3"
"40-020 Kivalina","64","0","3"
"40-024 Kotzebue","444","12","59"
"40-026 Noatak","94","1","7"
"40-030 Nuiqsut","44","1","1"
"40-032 Point Hope","85","1","4"
"40-034 Point Lay","26","1","2"
"40-036 Selawik","77","0","4"
"40-038 Shungnak","65","0","1"
"40-040 Wainwright","95","4","2"
"District 40 - Absentee","191","3","43"
"District 40 - Early Voting","36","1","1"
"District 40  - Question","47","5","57"
"Total","2193","47","236"
