"1","Stutes","Vincent","Blank","Overvote"
"05-800 Chiniak","27","9","2","0"
"05-810 Flats","205","194","29","0"
"05-815 Kodiak Island South","10","4","3","0"
"05-820 Kodiak No. 1","305","181","24","0"
"05-825 Kodiak No. 2","260","204","30","1"
"05-830 Mission Road","588","525","48","0"
"05-835 Old Harbor","17","9","1","0"
"05-840 Ouzinkie","35","8","6","0"
"05-845 Port Lions","34","17","2","0"
"05-860 Cordova","375","109","31","0"
"05-865 Seward-Lowell Point","175","270","114","0"
"05-870 Tatitlek","8","8","1","0"
"District 5 - Absentee","1189","504","223","1"
"District 5 - Early Voting","23","8","6","0"
"District 5  - Question","41","31","94","0"
"Total","3292","2081","614","2"
