"1","Bryant","Flora","Blank","Exhausted","Overvote"
"06-200 Anchor Point","69","287","17","523","1"
"06-210 Diamond Ridge","25","267","6","188","0"
"06-220 Fox River","11","117","4","154","0"
"06-230 Homer No. 1","47","392","12","285","0"
"06-240 Homer No. 2","29","362","9","257","1"
"06-250 Kachemak-Fritz Creek","32","485","14","258","1"
"06-260 Kasilof","123","365","59","624","2"
"06-270 Ninilchik","49","185","17","327","2"
"06-280 Seldovia-Kachemak Bay","7","112","3","48","0"
"District 6 - Absentee","178","1095","83","650","1"
"District 6 - Early Voting","90","1212","38","536","0"
"District 6  - Question","9","61","63","55","0"
"Total","669","4940","325","3905","8"
