"1","Bryant","Vance","Blank","Exhausted","Overvote"
"06-200 Anchor Point","108","703","17","67","2"
"06-210 Diamond Ridge","129","259","6","92","0"
"06-220 Fox River","44","194","4","44","0"
"06-230 Homer No. 1","189","381","12","154","0"
"06-240 Homer No. 2","143","373","9","132","1"
"06-250 Kachemak-Fritz Creek","244","360","14","171","1"
"06-260 Kasilof","160","827","59","127","0"
"06-270 Ninilchik","67","452","17","43","1"
"06-280 Seldovia-Kachemak Bay","43","73","3","51","0"
"District 6 - Absentee","645","909","83","368","2"
"District 6 - Early Voting","672","732","38","434","0"
"District 6  - Question","25","73","63","27","0"
"Total","2469","5336","325","1710","7"
