"1","Flora","Vance","Blank","Exhausted","Overvote"
"06-200 Anchor Point","195","678","17","6","1"
"06-210 Diamond Ridge","236","242","6","2","0"
"06-220 Fox River","96","186","4","0","0"
"06-230 Homer No. 1","360","357","12","7","0"
"06-240 Homer No. 2","306","338","9","4","1"
"06-250 Kachemak-Fritz Creek","439","328","14","8","1"
"06-260 Kasilof","282","802","59","30","0"
"06-270 Ninilchik","130","423","17","9","1"
"06-280 Seldovia-Kachemak Bay","98","67","3","2","0"
"District 6 - Absentee","1047","842","83","34","1"
"District 6 - Early Voting","1148","670","38","20","0"
"District 6  - Question","54","68","63","3","0"
"Total","4391","5001","325","125","5"
