"1","Bryant","Bryant","Bryant","Bryant","Bryant","Bryant","Bryant","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Flora","Overvote","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Vance","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Flora","Flora","Flora","Vance","Vance","Write-in","","Bryant","Bryant","Bryant","Bryant","Overvote","Vance","Vance","Write-in","Write-in","Write-in","","","Bryant","Bryant","Bryant","Bryant","Flora","Flora","Flora","Overvote","Write-in","Write-in","Write-in","","Bryant","Bryant","Flora","Vance",""
"3","","","Vance","Write-in","","Flora","Flora","","","Overvote","Vance","Write-in","","","Bryant","","Bryant","Vance","","","","Flora","Overvote","Write-in","","Bryant","Write-in","","","Bryant","Flora","","Flora","Vance","","",""
"06-200 Anchor Point","6","8","7","0","3","3","0","67","40","1","40","0","1","14","17","0","0","0","1","514","14","28","0","0","49","57","1","0","9","0","0","1","0","0","0","0","16"
"06-210 Diamond Ridge","2","5","3","0","1","0","0","92","77","0","36","2","0","7","11","0","3","0","0","188","6","8","0","0","26","13","0","0","0","0","0","0","0","0","0","0","6"
"06-220 Fox River","0","0","0","0","0","1","1","44","23","0","17","2","0","4","5","0","0","0","0","149","7","1","0","0","13","9","0","0","5","1","0","0","0","0","0","0","4"
"06-230 Homer No. 1","7","7","4","1","2","2","0","154","104","0","60","2","0","15","13","0","0","0","0","285","10","13","0","0","30","13","1","0","0","1","0","1","0","0","0","0","11"
"06-240 Homer No. 2","4","2","0","1","0","0","0","131","90","0","44","2","0","15","20","1","0","0","1","255","8","13","1","0","34","25","0","0","2","0","0","1","0","0","0","0","8"
"06-250 Kachemak-Fritz Creek","8","2","2","0","1","1","0","169","158","0","69","2","0","15","19","2","1","0","1","255","10","8","0","0","28","21","1","0","3","0","0","0","0","0","0","0","14"
"06-260 Kasilof","30","17","12","0","4","6","0","126","55","0","35","0","0","14","21","1","0","0","0","616","15","38","0","0","44","66","0","2","7","0","3","2","1","0","0","1","57"
"06-270 Ninilchik","9","8","3","0","1","1","0","43","17","0","27","1","0","17","14","0","0","0","1","320","7","20","0","0","24","42","0","1","7","0","0","0","0","0","0","0","17"
"06-280 Seldovia-Kachemak Bay","2","0","0","0","0","0","0","51","27","0","13","1","0","2","4","0","0","0","0","48","3","2","0","0","9","5","0","0","0","0","0","0","0","0","0","0","3"
"District 6 - Absentee","34","46","25","3","3","8","0","355","388","0","119","13","1","45","32","11","6","1","1","644","21","36","0","0","63","58","1","0","6","2","0","6","0","0","2","0","77"
"District 6 - Early Voting","20","17","8","0","2","1","0","430","466","0","139","14","0","31","34","3","4","0","0","526","14","22","0","2","37","49","2","0","9","3","2","2","1","0","1","1","36"
"District 6  - Question","3","1","0","0","0","0","0","27","10","0","9","1","0","1","4","0","0","1","0","55","1","3","0","0","4","4","0","0","0","0","0","0","0","1","0","0","63"
"Total","125","113","64","5","17","23","1","1689","1455","1","608","40","2","180","194","18","14","2","5","3855","116","192","1","2","361","362","6","3","48","7","5","13","2","1","3","2","312"
